id,country,day,month,name_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,date_mdy
129,Bulgaria,3.0,Mar,Liberation Day,1878.0,Ottoman Empire,Treaty of San Stefano which created the autonomous Principality of Bulgaria[23],3/3/1878
130,Ukraine,22.0,Jan,Day of Unity,1919.0,Russian Soviet Federative Socialist Republic,"Unification of Ukraine on January 22, 1919.[81]",1/22/1919
131,Comoros,6.0,Jul,Independence Day,1975.0,France,Unilateral declaration of independence by the Chamber of Deputies of Comoros following the 1974 Comorian independence referendum[41],7/6/1975
132,Norway,7.0,Jun,Independence Day,1905.0,Sweden,"Union Dissolution and Independence Day (June 7, 1905)",6/7/1905
133,Somalia,1.0,Jul,Independence Day,1960.0,Italy and United Kingdom,Union of the Trust Territory of Somalia (former Italian Somaliland) and British Somaliland to form the Somali Republic. Event commemorated annually.,7/1/1960
134,United States,4.0,Jul,Independence Day or Fourth of July,1776.0,Kingdom of Great Britain,United States Declaration of Independence,7/4/1776
135,Venezuela,5.0,Jul,Independence Day,1811.0,Spanish Empire,Venezuelan Declaration of Independence,7/5/1811
136,Georgia,9.0,Apr,Day of National Unity,1991.0,Soviet Union,N/A,4/9/1991
137,Peru,28.0,Jul,Fiestas Patrias,1821.0,Spanish Empire,N/A,7/28/1821
138,Djibouti,27.0,Jun,Independence Day,1977.0,France,N/A,6/27/1977
139,Dominica,3.0,Nov,Independence Day,1978.0,United Kingdom,N/A,11/3/1978
140,Eritrea,24.0,May,Independence Day,1991.0,Ethiopia,N/A,5/24/1991
141,Ghana,6.0,Mar,Independence Day,1957.0,United Kingdom,N/A,3/6/1957
142,Grenada,7.0,Feb,Independence Day,1974.0,United Kingdom,N/A,2/7/1974
143,Kazakhstan,16.0,Dec,Independence Day,1991.0,Soviet Union,N/A,12/16/1991
144,Kyrgyzstan,31.0,Aug,Independence Day,1991.0,Soviet Union,N/A,8/31/1991
145,Lebanon,22.0,Nov,Independence Day,1943.0,France,N/A,11/22/1943
146,Malta,21.0,Sep,Independence Day,1964.0,United Kingdom,N/A,9/21/1964
147,Nigeria,1.0,Oct,Independence Day,1960.0,United Kingdom,N/A,10/1/1960
148,Paraguay,14.0,May,Independence Day,1811.0,Spanish Empire[72],N/A,5/14/1811
149,Saint Kitts and Nevis,19.0,Sep,Independence Day,1983.0,United Kingdom,N/A,9/19/1983
150,Saint Lucia,22.0,Feb,Independence Day,1979.0,United Kingdom,N/A,2/22/1979
151,Saint Vincent and the Grenadines,27.0,Oct,Independence Day,1979.0,United Kingdom,N/A,10/27/1979
152,Senegal,4.0,Apr,Independence Day,1960.0,France,N/A,4/4/1960
153,Sierra Leone,27.0,Apr,Independence Day,1961.0,United Kingdom,N/A,4/27/1961
154,Solomon Islands,7.0,Jul,Independence Day,1978.0,United Kingdom,N/A,7/7/1978
155,South Sudan,9.0,Jul,Independence Day,2011.0,Sudan,N/A,7/9/2011
156,Sri Lanka,4.0,Feb,Independence Day,1948.0,United Kingdom,N/A,2/4/1948
157,Sudan,1.0,Jan,Independence Day,1956.0,Egypt and the United Kingdom,N/A,1/1/1956
158,Suriname,25.0,Nov,Independence Day,1975.0,Netherlands,N/A,11/25/1975
159,Tajikistan,9.0,Sep,Independence Day,1991.0,Soviet Union,N/A,9/9/1991
160,Tunisia,20.0,Mar,Independence Day,1956.0,France,N/A,3/20/1956
161,Turkmenistan,27.0,Sep,Independence Day,1991.0,Soviet Union[80],N/A,9/27/1991
162,Tuvalu,1.0,Oct,Independence Day,1978.0,United Kingdom,N/A,10/1/1978
163,Uganda,9.0,Oct,Independence Day,1962.0,United Kingdom,N/A,10/9/1962
164,Uzbekistan,1.0,Sep,Independence Day,1991.0,Soviet Union,N/A,9/1/1991
165,Vanuatu,30.0,Jul,Independence Day,1980.0,United Kingdom and France,N/A,7/30/1980
166,North Macedonia,8.0,Sep,Independence Day (Den na nezavisnosta),1991.0,SFR Yugoslavia,N/A,9/8/1991
167,Kenya,12.0,Dec,Jamhuri Day,1963.0,United Kingdom,N/A,12/12/1963
168,Oman,18.0,Nov,National Day,1650.0,Portugal,N/A,11/18/1650
169,United Arab Emirates,2.0,Dec,National Day,1971.0,United Kingdom,N/A,12/2/1971
170,Morocco,11.0,Jan,Proclamation of Independence Day,1944.0,France and Spain,N/A,1/11/1944
171,India,26.0,Jan,Republic Day,1950.0,N/A,N/A,1/26/1950
172,Equatorial Guinea,12.0,Oct,Independence Day,1968.0,Spain,N/A,10/12/1968
173,Guinea,2.0,Oct,Independence Day,1958.0,France,N/A,10/2/1958
174,Guyana,26.0,May,Independence Day,1966.0,United Kingdom,N/A,5/26/1966
175,Iraq,3.0,Oct,Independence Day,1932.0,United Kingdom,N/A,10/3/1932
176,Kiribati,12.0,Jul,Independence Day,1979.0,United Kingdom,N/A,7/12/1979
177,Kuwait,25.0,Feb,Independence Day,1961.0,United Kingdom,N/A,2/25/1961
178,Lesotho,4.0,Oct,Independence Day,1966.0,United Kingdom,N/A,10/4/1966
179,Madagascar,26.0,Jun,Independence Day,1960.0,France,N/A,6/26/1960
180,Malawi,6.0,Jul,Independence Day,1964.0,United Kingdom,N/A,7/6/1964
181,Maldives,26.0,Jul,Independence Day,1965.0,United Kingdom,N/A,7/26/1965
182,Mali,22.0,Sep,Independence Day,1960.0,France,N/A,9/22/1960
183,Mauritius,12.0,Mar,Independence Day,1968.0,United Kingdom,N/A,3/12/1968
184,Namibia,21.0,Mar,Independence Day,1990.0,South Africa,N/A,3/21/1990
185,Nauru,31.0,Jan,Independence Day,1968.0,"Australia, New Zealand and the United Kingdom",N/A,1/31/1968
186,Papua New Guinea,16.0,Sep,Independence Day,1975.0,Australia of the former Territory of Papua and New Guinea,N/A,9/16/1975
187,Samoa,1.0,Jun,Independence Day,1962.0,New Zealand,N/A,6/1/1962
188,Seychelles,29.0,Jun,Independence Day,1976.0,United Kingdom,N/A,6/29/1976
189,Togo,27.0,Apr,Independence Day,1960.0,France,N/A,4/27/1960
