id,title,playstation,xbox,nintendo,pc,other,score,genre,editors_choice,release_year,release_month
5699,Cybernator,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Action,N,2008.0,1.0
5700,Cybersaurus 3D,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,Action,N,2008.0,9.0
5701,Dai Senryaku VII: Modern Military Tactics Exceed,TRUE,FALSE,FALSE,FALSE,FALSE,4.3,Strategy,N,2008.0,1.0
5702,Dance Dance Revolution Universe 3 (Game Only Edition),FALSE,TRUE,FALSE,FALSE,FALSE,5.0,Music,N,2008.0,10.0
5703,Dance Dance Revolution X,TRUE,FALSE,FALSE,FALSE,FALSE,5.4,Music,N,2008.0,9.0
5704,Dance Dance Revolution: Disney Channel Edition,TRUE,FALSE,FALSE,FALSE,FALSE,6.5,Music,N,2008.0,1.0
5705,Dance Dance Revolution: Hottest Party,FALSE,FALSE,TRUE,FALSE,FALSE,7.0,Music,N,2008.0,1.0
5706,Dancing With The Stars,TRUE,FALSE,TRUE,FALSE,FALSE,5.7,Music,N,2008.0,2.0
5707,Dancing With The Stars (Mobile),FALSE,FALSE,FALSE,FALSE,TRUE,4.5,Music,N,2008.0,5.0
5708,Dancing with the Stars: The PC Game,FALSE,FALSE,FALSE,TRUE,FALSE,3.5,Music,N,2008.0,5.0
5709,Dark Horizon,FALSE,FALSE,FALSE,TRUE,FALSE,6.0,Action,N,2008.0,9.0
5710,Dark Messiah of Might and Magic Elements,FALSE,TRUE,FALSE,FALSE,FALSE,5.7,Action-RPG,N,2008.0,2.0
5711,de Blob (iPhone),FALSE,FALSE,FALSE,FALSE,TRUE,8.0,Platformer,N,2008.0,7.0
5712,de Blob (Wii),FALSE,FALSE,TRUE,FALSE,FALSE,8.4,Platformer,Y,2008.0,9.0
5713,Dead Rising (Mobile),FALSE,FALSE,FALSE,FALSE,TRUE,7.3,Action-Adventure,N,2008.0,1.0
5714,Dead Space,TRUE,TRUE,FALSE,TRUE,FALSE,8.7,Action-Adventure,Y,2008.0,10.0
5715,Deadliest Catch: Alaskan Storm (Xbox 360),FALSE,TRUE,FALSE,FALSE,FALSE,6.4,Action,N,2008.0,6.0
5716,Deadliest Catch: Alaskan Storm (PC),FALSE,FALSE,FALSE,TRUE,FALSE,6.5,Sports,N,2008.0,8.0
5717,Deal or No Deal (DS),FALSE,FALSE,TRUE,FALSE,FALSE,1.5,Trivia,N,2008.0,1.0
5718,Death Jr.: Root of Evil,FALSE,FALSE,TRUE,FALSE,FALSE,7.4,Platformer,N,2008.0,6.0
5719,Deca Sports,FALSE,FALSE,TRUE,FALSE,FALSE,4.5,Sports,N,2008.0,6.0
5720,Deer Hunter Tournament,FALSE,FALSE,FALSE,TRUE,FALSE,6.4,Shooter,N,2008.0,11.0
5721,Defend Your Castle,FALSE,FALSE,TRUE,FALSE,FALSE,7.9,Action,N,2008.0,5.0
5722,Defendin' de Penguin,FALSE,FALSE,TRUE,FALSE,FALSE,5.6,Strategy,N,2008.0,12.0
5723,Defense Grid: The Awakening (PC),FALSE,FALSE,FALSE,TRUE,FALSE,8.0,Strategy,N,2008.0,12.0
5724,Demon Attack,FALSE,FALSE,FALSE,FALSE,TRUE,7.5,Action,N,2008.0,8.0
5725,Destroy All Humans! Big Willy Unleashed,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,Adventure,N,2008.0,3.0
5726,Destroy All Humans! Crypto Does Vegas,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,Action,N,2008.0,4.0
5727,Destroy All Humans! Path of the Furon,FALSE,TRUE,FALSE,FALSE,FALSE,3.0,Adventure,N,2008.0,12.0
5728,Devil May Cry 3D,FALSE,FALSE,FALSE,FALSE,TRUE,6.0,Action,N,2008.0,6.0
5729,Devil May Cry 4,TRUE,TRUE,FALSE,FALSE,FALSE,8.7,Action,Y,2008.0,2.0
5730,Devil May Cry 4 (PC),FALSE,FALSE,FALSE,TRUE,FALSE,8.0,Action,N,2008.0,7.0
5731,Devil May Cry 4 (Collector's Edition),TRUE,TRUE,FALSE,FALSE,FALSE,8.7,Action,Y,2008.0,2.0
5732,Di-Gata Defenders,FALSE,FALSE,TRUE,FALSE,FALSE,3.0,Action,N,2008.0,12.0
5733,Diamond Twister,FALSE,FALSE,FALSE,FALSE,TRUE,7.5,Puzzle,N,2008.0,8.0
5734,Diary Girl,FALSE,FALSE,TRUE,FALSE,FALSE,4.5,Productivity,N,2008.0,4.0
5735,Dig Dug,FALSE,FALSE,TRUE,FALSE,FALSE,5.0,Action,N,2008.0,6.0
5736,Digimon World Championship,FALSE,FALSE,TRUE,FALSE,FALSE,4.5,Fighting,N,2008.0,8.0
5737,Digital Champ Battle Boxing,FALSE,FALSE,TRUE,FALSE,TRUE,3.0,Sports,N,2008.0,10.0
5738,Dilbert Cubicle Chaos,FALSE,FALSE,FALSE,FALSE,TRUE,7.0,Action,N,2008.0,5.0
5739,Diner Dash (iPhone),FALSE,FALSE,FALSE,FALSE,TRUE,6.5,Strategy,N,2008.0,9.0
5740,Dinosaur King,FALSE,FALSE,TRUE,FALSE,FALSE,6.6,Strategy,N,2008.0,10.0
5741,Discs of Tron,FALSE,TRUE,FALSE,FALSE,FALSE,3.0,Action,N,2008.0,2.0
5742,Disgaea 3: Absence of Justice (PS3),TRUE,FALSE,FALSE,FALSE,FALSE,6.7,Strategy,N,2008.0,8.0
5743,Disgaea DS,FALSE,FALSE,TRUE,FALSE,FALSE,9.0,Strategy,N,2008.0,9.0
5744,Disney Fairies: Fly!,FALSE,FALSE,FALSE,FALSE,TRUE,7.5,Adventure,N,2008.0,12.0
5745,Disney Fairies: Tinker Bell,FALSE,FALSE,TRUE,FALSE,FALSE,5.5,Adventure,N,2008.0,12.0
5746,Disney Friends,FALSE,FALSE,TRUE,FALSE,FALSE,7.0,Adventure,N,2008.0,3.0
5747,Disney Princess: Enchanted Journey,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Adventure,N,2008.0,1.0
5748,Disney Sing It,TRUE,TRUE,FALSE,FALSE,FALSE,6.2,Music,N,2008.0,11.0
5749,Disney Think Fast,FALSE,FALSE,TRUE,FALSE,FALSE,5.5,Trivia,N,2008.0,12.0
5750,Disney's All-Star Cards,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,Strategy,N,2008.0,8.0
5751,Dokapon Kingdom,TRUE,FALSE,TRUE,FALSE,FALSE,8.0,RPG,N,2008.0,10.0
5752,Domino Master,FALSE,TRUE,FALSE,FALSE,FALSE,4.5,Strategy,N,2008.0,9.0
5753,Don King Presents: Prizefighter,FALSE,TRUE,FALSE,FALSE,FALSE,5.0,Sports,N,2008.0,6.0
5754,Donkey Kong 3,FALSE,FALSE,TRUE,FALSE,FALSE,6.0,Action,N,2008.0,7.0
5755,Donkey Kong Country 3: Dixie Kong's Double Trouble,FALSE,FALSE,TRUE,FALSE,TRUE,8.5,Platformer,Y,2008.0,1.0
5756,Doom (1993),FALSE,FALSE,FALSE,FALSE,TRUE,5.0,Shooter,N,2008.0,12.0
5757,Dora the Explorer: Dora Saves The Mermaids,TRUE,FALSE,FALSE,FALSE,FALSE,5.0,Adventure,N,2008.0,4.0
5758,Dora the Explorer: Dora Saves the Snow Princess,TRUE,FALSE,TRUE,FALSE,FALSE,3.5,Adventure,N,2008.0,11.0
5759,DoReMi Fantasy: Milon's DokiDoki Adventure,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Platformer,N,2008.0,3.0
5760,Double D Dodgeball,FALSE,TRUE,FALSE,FALSE,FALSE,2.5,Sports,N,2008.0,7.0
5761,Double Dragon (Wii),FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Fighting,N,2008.0,4.0
5762,Double Sequence,FALSE,FALSE,TRUE,FALSE,FALSE,4.0,Puzzle,N,2008.0,4.0
5763,Downstream Panic!,TRUE,FALSE,FALSE,FALSE,FALSE,8.3,Puzzle,Y,2008.0,2.0
5764,Dr. Mario Online Rx,FALSE,FALSE,TRUE,FALSE,FALSE,8.5,Puzzle,Y,2008.0,5.0
5765,Dracula 3: The Path of the Dragon,FALSE,FALSE,FALSE,TRUE,FALSE,7.2,Adventure,N,2008.0,8.0
5766,Dracula: Origin,FALSE,FALSE,FALSE,TRUE,FALSE,8.0,Adventure,N,2008.0,6.0
5767,Dragon Ball Z: Burst Limit,TRUE,TRUE,FALSE,FALSE,FALSE,7.9,Fighting,N,2008.0,6.0
5768,Dragon Ball Z: Infinite World,TRUE,FALSE,FALSE,FALSE,FALSE,3.5,Fighting,N,2008.0,11.0
5769,Dragon Ball: Origins,FALSE,FALSE,TRUE,FALSE,FALSE,8.2,Action-RPG,N,2008.0,12.0
5770,Dragon Quest IV: Chapters of the Chosen,FALSE,FALSE,TRUE,FALSE,FALSE,8.0,RPG,N,2008.0,9.0
5771,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,FALSE,FALSE,TRUE,FALSE,FALSE,7.0,Action-RPG,N,2008.0,2.0
5772,Drawn to Life: SpongeBob SquarePants Edition,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Action,N,2008.0,9.0
5773,Dreadnaught Factor,FALSE,FALSE,FALSE,FALSE,TRUE,8.0,Action,N,2008.0,1.0
5774,Dream Pinball 3D,FALSE,FALSE,TRUE,TRUE,FALSE,5.1,Pinball,N,2008.0,5.0
5775,Dream Pinball 3D (DS),FALSE,FALSE,TRUE,FALSE,FALSE,6.5,Pinball,N,2008.0,5.0
5776,Drive to Survive,FALSE,FALSE,FALSE,TRUE,FALSE,4.0,Racing,N,2008.0,7.0
5777,Drone Tactics,FALSE,FALSE,TRUE,FALSE,FALSE,7.4,Strategy,N,2008.0,5.0
5778,Dropcast,FALSE,FALSE,TRUE,FALSE,FALSE,5.9,Puzzle,N,2008.0,10.0
5779,Dropship,FALSE,FALSE,FALSE,FALSE,TRUE,8.2,Action,N,2008.0,12.0
5780,DT Carnage (PS2),TRUE,FALSE,FALSE,FALSE,FALSE,5.2,Racing,N,2008.0,9.0
5781,Ducati Moto,FALSE,FALSE,TRUE,FALSE,FALSE,6.0,Racing,N,2008.0,9.0
5782,Duke Nukem 3D,FALSE,TRUE,FALSE,FALSE,FALSE,8.5,Shooter,Y,2008.0,9.0
5783,Dungeon Explorer: Warriors of Ancient Arts,TRUE,FALSE,TRUE,FALSE,FALSE,6.0,Action-RPG,N,2008.0,2.0
5784,Dungeon Maker II: The Hidden War,TRUE,FALSE,FALSE,FALSE,FALSE,8.0,RPG,N,2008.0,12.0
5785,Dynamite Duke,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,Action,N,2008.0,4.0
5786,Dynasty Warriors 6 (PS3),TRUE,FALSE,FALSE,FALSE,FALSE,5.9,Action,N,2008.0,2.0
