id,Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
737,Lucifer,Andrew Dasburg,Male,Plaster,New York,1.0,200.0,Requested by Organizers
738,Age,Nessa Cohen,Female,Plaster,New York,1.0,125.0,Requested by Organizers
739,Sun Rise,Nessa Cohen,Female,Bronze,New York,1.0,600.0,Requested by Organizers
740,Yoshinosen,Jo Davidson,Male,Bronze,New York,1.0,650.0,Requested by Organizers
741,Torso,Jo Davidson,Male,Bronze,New York,1.0,300.0,Requested by Organizers
742,Girl in Blue,Randall Davey,Male,Oil,New York,1.0,600.0,Submitted by Artist
743,Mlle Lucienne,Lawrence Tyler Dresser,Male,Oil,New York,1.0,300.0,Submitted by Artist
744,A Boy,Florence Drey fous,Female,Watercolor,New York,1.0,200.0,Submitted by Artist
745,Servant Girls 1913,Stuart Davis,Male,Watercolor,New York,1.0,100.0,Requested by Organizers
746,"Dance, 1912",Stuart Davis,Male,Watercolor,New York,1.0,100.0,Submitted by Artist
747,"The Doctor now, Interior",Stuart Davis,Male,Watercolor,New York,1.0,100.0,Submitted by Artist
748,"Babe La Tour,1912",Stuart Davis,Male,Watercolor,New York,1.0,100.0,Submitted by Artist
749,The Musicians,Stuart Davis,Male,Watercolor,New York,1.0,100.0,Requested by Organizers
750,Pine Tree,O.N. Chaffee,Male,Oil,New York,1.0,800.0,Submitted by Artist
751,Iona Island,Leon Dabo,Male,Oil,New York,1.0,1000.0,Requested by Organizers
752,Before the storm,Leon Dabo,Male,Oil,New York,1.0,1000.0,Requested by Organizers
753,Canadian Night,Leon Dabo,Male,Oil,New York,1.0,1000.0,Requested by Organizers
754,Portrait.,Harry W. Coate,Male,Oil,New York,1.0,350.0,Requested by Organizers
755,Hill Wind,Arthur Bowen Davis,Male,Oil,New York,1.0,2800.0,Requested by Organizers
756,Sea drift,Arthur Bowen Davis,Male,Oil,New York,1.0,1000.0,Requested by Organizers
757,"Drawing now Reclining Women, 1911, now 1913",Arthur Bowen Davis,Male,Pastel,New York,1.0,65.0,Requested by Organizers
758,Lithograph (large),Paul Ce'zanne,Male,Lithograph,New York & Chicago,2.0,54.0,Requested by Organizers
759,Lithograph (small),Paul Ce'zanne,Male,Lithograph,New York & Chicago,2.0,42.0,Requested by Organizers
760,"La Doleur,1912",Jo Davidson,Male,Stone,New York,1.0,4000.0,Requested by Organizers
761,Portrait,Harry W. Coate,Male,Oil,New York,1.0,350.0,Requested by Organizers
762,L'E tatc'est moi,Oscar E. Cesare,Male,Drawing,New York,1.0,100.0,Requested by Organizers
763,Our Friend the Horse,Oscar E. Cesare,Male,Drawing,New York,1.0,100.0,Requested by Organizers
764,Mors Pasha,Oscar E. Cesare,Male,Drawing,New York,1.0,100.0,Requested by Organizers
765,Swan,Robert W. Chanler,Male,Screen,New York,1.0,2000.0,Requested by Organizers
766,Mother and Daughter,Edith Dimock,Female,Watercolor,New York,1.0,35.0,Requested by Organizers
767,Group of Six paintings,Edith Dimock,Female,Watercolor,New York,1.0,280.0,Requested by Organizers
768,The Old Woman and the Rosary,Paul Ce'zanne,Male,Oil,New York,1.0,48600.0,Requested by Organizers
769,Portrait of Ce'zanne,Paul Ce'zanne,Male,Oil,New York,1.0,6500.0,Requested by Organizers
770,Baigneusis,Paul Ce'zanne,Male,Oil,New York,1.0,6500.0,Requested by Organizers
771,Auvers,Paul Ce'zanne,Male,Oil,New York,1.0,9500.0,Requested by Organizers
772,Seville,Charles Camoin,Male,Oil,New York,1.0,216.0,Requested by Organizers
773,Moulin Rouge,Charles Camoin,Male,Oil,New York,1.0,240.75,Requested by Organizers
774,Ange'lique,Maurice Denis,Male,Oil,New York,1.0,1620.0,Requested by Organizers
775,La Fene'tre sur le Parc,Andre'Derain,Male,Oil,New York,1.0,486.0,Requested by Organizers
776,Landscape.,Andrew Dasburg,Male,Oil,New York,1.0,250.0,Requested by Organizers
777,"Me're et enfant, 1903",Mary Cassatt,Female,Oil,New York,1.0,4950.0,Requested by Organizers
778,Torse of a Young Man,Raymond Duchamp-Villon,Male,Bronze,New York,1.0,216.0,Requested by Organizers
779,Baudelaire,Raymond Duchamp-Villon,Male,Terracotta,New York,1.0,162.0,Requested by Organizers
780,Decorative Panel,Jo Davidson,Male,Sculpture,New York,1.0,5000.0,Requested by Organizers
781,Yoshinosen,Jo Davidson,Male,Bronze,New York,1.0,600.0,Requested by Organizers
782,Yoshinosen,Jo Davidson,Male,Stone,New York,1.0,1000.0,Requested by Organizers
783,A Russian Student,Lawrence Tyler Dresser,Male,Oil,New York,1.0,300.0,Submitted by Artist
784,A Village,O.N Chaffee,Male,Oil,New York,1.0,800.0,Submitted by Artist
