id,season,number,production_code,episode_title,guest_star,role
112,4.0,068–409,9F07,Mr. Plow,Adam West,Himself
113,4.0,069–410,9F08,Lisa's First Word,Elizabeth Taylor,Maggie Simpson
114,4.0,071–412,9F10,Marge vs. the Monorail,Phil Hartman,Lyle Lanley
115,4.0,071–412,9F10,Marge vs. the Monorail,Leonard Nimoy,Himself
116,4.0,072–413,9F11,Selma's Choice,Phil Hartman,Lionel Hutz; Troy McClure; Security Guard; Mandy Patinkin
117,4.0,072–413,9F11,Selma's Choice,Michele Pillar,"Sings ""A Natural Woman"""
118,4.0,073–414,9F12,Brother from the Same Planet,Phil Hartman,Tom; Eddie Muntz
119,4.0,073–414,9F12,Brother from the Same Planet,Marcia Wallace,Edna Krabappel
120,4.0,074–415,9F13,I Love Lisa,Michael Carrington,Krusty Anniversary Show Announcer; Sideshow Raheem
121,4.0,075–416,9F14,Duffless,Phil Hartman,Troy McClure; Lionel Hutz
122,4.0,075–416,9F14,Duffless,Kipp Lennon,"Sings ""Raindrops Keep Fallin' on My Head"""
123,4.0,075–416,9F14,Duffless,Marcia Wallace,Edna Krabappel
124,4.0,076–417,9F15,Last Exit to Springfield,Joyce Brothers,Herself
125,4.0,078–419,9F16,The Front,Brooke Shields,Herself
126,4.0,079–420,9F18,Whacking Day,Gene Merlino,"Sings ""Born Free"""
127,4.0,079–420,9F18,Whacking Day,Barry White,Himself
128,4.0,080–421,9F20,Marge in Chains,David Crosby,Himself
129,4.0,080–421,9F20,Marge in Chains,Phil Hartman,Troy McClure; Lionel Hutz
130,4.0,081–422,9F19,Krusty Gets Kancelled,Johnny Carson,Himself
131,4.0,081–422,9F19,Krusty Gets Kancelled,Hugh Hefner,Himself
132,4.0,081–422,9F19,Krusty Gets Kancelled,Bette Midler,Herself
133,4.0,081–422,9F19,Krusty Gets Kancelled,Luke Perry,Himself
134,4.0,081–422,9F19,Krusty Gets Kancelled,Red Hot Chili Peppers,Themselves
135,4.0,081–422,9F19,Krusty Gets Kancelled,Elizabeth Taylor,Herself
136,4.0,081–422,9F19,Krusty Gets Kancelled,Marcia Wallace,Edna Krabappel
137,4.0,081–422,9F19,Krusty Gets Kancelled,Barry White,Himself
138,5.0,082–501,9F21,Homer's Barbershop Quartet,David Crosby,Himself
139,5.0,082–501,9F21,Homer's Barbershop Quartet,The Dapper Dans,The singing voices of the Be Sharps
140,5.0,082–501,9F21,Homer's Barbershop Quartet,George Harrison,Himself
141,5.0,083–502,9F22,Cape Feare,Kelsey Grammer,Sideshow Bob
142,5.0,083–502,9F22,Cape Feare,Marcia Wallace,Edna Krabappel
143,5.0,085–504,1F01,Rosebud,Ramones,Themselves
144,5.0,086–505,1F04,Treehouse of Horror IV,Phil Hartman,Lionel Hutz
145,5.0,086–505,1F04,Treehouse of Horror IV,Frank Welker,Gremlin
146,5.0,086–505,1F03,Marge on the Lam,George Fenneman,Narrator
147,5.0,086–505,1F03,Marge on the Lam,Phil Hartman,Troy McClure; Lionel Hutz
148,5.0,086–505,1F03,Marge on the Lam,Pamela Reed,Ruth Powers; Truck-stop Waitress
149,5.0,088–507,1F05,Bart's Inner Child,Albert Brooks,Brad Goodman
150,5.0,088–507,1F05,Bart's Inner Child,James Brown,Himself
151,5.0,088–507,1F05,Bart's Inner Child,Phil Hartman,Troy McClure
152,5.0,088–507,1F05,Bart's Inner Child,Marcia Wallace,Edna Krabappel
153,5.0,089–508,1F06,Boy-Scoutz 'n the Hood,Ernest Borgnine,Himself
154,5.0,089–508,1F06,Boy-Scoutz 'n the Hood,Marcia Wallace,Edna Krabappel
155,5.0,091–510,1F08,The Last Temptation of Homer,Phil Hartman,Lionel Hutz
156,5.0,091–510,1F08,The Last Temptation of Homer,Werner Klemperer,Colonel Klink
157,5.0,091–510,1F08,The Last Temptation of Homer,Michelle Pfeiffer,Mindy Simmons
158,5.0,091–510,1F08,The Last Temptation of Homer,Marcia Wallace,Edna Krabappel
159,5.0,091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Gerry Cooney,Himself
160,5.0,091–510,1F08,"$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)",Robert Goulet,Himself
161,5.0,092–511,1F09,Homer the Vigilante,Sam Neill,Molloy
162,5.0,093–512,1F11,Bart Gets Famous,Conan O'Brien,Himself
163,5.0,093–512,1F11,Bart Gets Famous,Marcia Wallace,Edna Krabappel
164,5.0,094–513,1F10,Homer and Apu,Michael Carrington,Black comedian
165,5.0,094–513,1F10,Homer and Apu,James Woods,Himself
166,5.0,095–514,1F12,Lisa vs. Malibu Stacy,Kathleen Turner,Stacy Lovell
167,5.0,096–515,1F13,Deep Space Homer,Buzz Aldrin,Himself
168,5.0,096–515,1F13,Deep Space Homer,James Taylor,Himself
169,5.0,099–518,1F16,Burns' Heir,Phil Hartman,Lionel Hutz
170,5.0,100–519,1F18,Sweet Seymour Skinner's Baadasssss Song,Marcia Wallace,Edna Krabappel
171,5.0,100–519,1F18,Sweet Seymour Skinner's Baadasssss Song,Frank Welker,Santa's Little Helper
172,5.0,101–520,1F19,The Boy Who Knew Too Much,Phil Hartman,Lionel Hutz
173,5.0,101–520,1F19,The Boy Who Knew Too Much,Marcia Wallace,Edna Krabappel
174,5.0,102–521,1F21,Lady Bouvier's Lover,Phil Hartman,Troy McClure
175,5.0,102–521,1F21,Lady Bouvier's Lover,Kipp Lennon,"Sings ""The Sound of Grampa"" (parody of the song The Sound of Silence)"
176,5.0,103–522,1F20,Secrets of a Successful Marriage,Phil Hartman,Lionel Hutz
177,5.0,103–522,1F20,Secrets of a Successful Marriage,Marcia Wallace,Edna Krabappel
178,6.0,105–602,1F17,Lisa's Rival,Winona Ryder,Allison Taylor
179,6.0,108–605,2F02,Sideshow Bob Roberts,Henry Corden,Fred Flintstone
180,6.0,108–605,2F02,Sideshow Bob Roberts,Dr. Demento,Himself
181,6.0,108–605,2F02,Sideshow Bob Roberts,Kelsey Grammer,Sideshow Bob
182,6.0,108–605,2F02,Sideshow Bob Roberts,Phil Hartman,Lionel Hutz
183,6.0,108–605,2F02,Sideshow Bob Roberts,Larry King,Himself
184,6.0,108–605,2F02,Sideshow Bob Roberts,Marcia Wallace,Edna Krabappel
185,6.0,109–606,2F03,Treehouse of Horror V,James Earl Jones,Alternate Universe Maggie Simpson
186,6.0,109–606,2F03,Treehouse of Horror V,Marcia Wallace,Edna Krabappel
187,6.0,110–607,2F04,Bart's Girlfriend,Meryl Streep,Jessica Lovejoy
188,6.0,111–608,2F05,Lisa on Ice,Marcia Wallace,Edna Krabappel
189,6.0,112–609,2F06,Homer Badman,Dennis Franz,Himself playing Homer Simpson
190,6.0,113–610,2F07,Grampa vs. Sexual Inadequacy,Phil Hartman,Troy McClure
191,6.0,114–611,2F08,Fear of Flying,Anne Bancroft,Dr. Zweig
192,6.0,114–611,2F08,Fear of Flying,Ted Danson,Sam Malone
193,6.0,114–611,2F08,Fear of Flying,Woody Harrelson,Woody Boyd
194,6.0,114–611,2F08,Fear of Flying,John Ratzenberger,Cliff Clavin
195,6.0,114–611,2F08,Fear of Flying,Rhea Perlman,Carla Tortelli
196,6.0,114–611,2F08,Fear of Flying,George Wendt,Norm Peterson
197,6.0,115–612,2F09,Homer the Great,Patrick Stewart,Number One
198,6.0,118–615,2F12,Homie the Clown,Dick Cavett,Himself
199,6.0,118–615,2F12,Homie the Clown,Joe Mantegna,Fat Tony
200,6.0,118–615,2F12,Homie the Clown,Johnny Unitas,Himself
201,6.0,119–616,2F13,Bart vs. Australia,Phil Hartman,Evan Conover
202,6.0,120–617,2F14,Homer vs. Patty and Selma,Mel Brooks,Himself
203,6.0,120–617,2F14,Homer vs. Patty and Selma,Susan Sarandon,Ballet teacher
204,6.0,121–618,2F31,A Star Is Burns,Phil Hartman,Charlton Heston
205,6.0,121–618,2F31,A Star Is Burns,Maurice LaMarche,George C. Scott; Hannibal Lecter; Captain James T. Kirk; Eudora Welty
206,6.0,121–618,2F31,A Star Is Burns,Jon Lovitz,Jay Sherman
207,6.0,122–619,2F15,Lisa's Wedding,Phil Hartman,Troy McClure
208,6.0,122–619,2F15,Lisa's Wedding,Mandy Patinkin,Hugh Parkfield
209,6.0,123–620,2F18,Two Dozen and One Greyhounds,Frank Welker,Santa's Little Helper; Various dogs
210,6.0,124–621,2F19,The PTA Disbands,Marcia Wallace,Edna Krabappel
211,6.0,125–622,2F32,Round Springfield,Steve Allen,Himself
212,6.0,125–622,2F32,Round Springfield,Phil Hartman,Lionel Hutz
213,6.0,125–622,2F32,Round Springfield,Ron Taylor,Bleeding Gums Murphy
214,6.0,125–622,2F32,Round Springfield,Marcia Wallace,Edna Krabappel
215,6.0,126–623,2F21,The Springfield Connection,Phil Hartman,Lionel Hutz
216,6.0,126–623,2F21,The Springfield Connection,Marcia Wallace,Edna Krabappel
217,6.0,127–624,2F22,Lemon of Troy,Marcia Wallace,Edna Krabappel
218,6.0,128–625,2F16,Who Shot Mr. Burns? Part 1,Tito Puente,Himself
219,7.0,129–701,2F20,Who Shot Mr. Burns? Part 2,Tito Puente,Himself
220,7.0,130–702,2F17,Radioactive Man,Phil Hartman,Lionel Hutz
221,7.0,130–702,2F17,Radioactive Man,Mickey Rooney,Himself
222,7.0,131–703,3F01,Home Sweet Homediddly-Dum-Doodily,Joan Kenley,Telephone voice
223,7.0,131–703,3F01,Home Sweet Homediddly-Dum-Doodily,Marcia Wallace,Edna Krabappel
224,7.0,131–703,3F01,Home Sweet Homediddly-Dum-Doodily,Frank Welker,Monkey
225,7.0,133–705,3F03,Lisa the Vegetarian,Phil Hartman,Troy McClure
226,7.0,133–705,3F03,Lisa the Vegetarian,Linda McCartney,Herself
227,7.0,133–705,3F03,Lisa the Vegetarian,Paul McCartney,Himself
228,7.0,134–706,3F04,Treehouse of Horror VI,Paul Anka,Himself
229,7.0,134–706,3F04,Treehouse of Horror VI,Marcia Wallace,Edna Krabappel
230,7.0,135–707,3F05,King-Size Homer,Joan Kenley,Telephone voice
231,7.0,136–708,3F06,Mother Simpson,Glenn Close,Mona Simpson
232,7.0,136–708,3F06,Mother Simpson,Harry Morgan,Bill Gannon
233,7.0,137–709,3F08,Sideshow Bob's Last Gleaming,R. Lee Ermey,Colonel Leslie Hapablap
234,7.0,137–709,3F08,Sideshow Bob's Last Gleaming,Kelsey Grammer,Sideshow Bob
235,7.0,138–710,3F31,The Simpsons 138th Episode Spectacular,Phil Hartman,Troy McClure; Lionel Hutz
236,7.0,139–711,3F07,Marge Be Not Proud,Phil Hartman,Troy McClure
237,7.0,139–711,3F07,Marge Be Not Proud,Lawrence Tierney,Don Brodka
238,7.0,140–712,3F10,Team Homer,Marcia Wallace,Edna Krabappel
239,7.0,142–714,3F11,Scenes from the Class Struggle in Springfield,Tom Kite,Himself
240,7.0,143–715,3F12,Bart the Fink,Phil Hartman,Troy McClure
241,7.0,143–715,3F12,Bart the Fink,Bob Newhart,Himself
242,7.0,144–716,3F13,Lisa the Iconoclast,Phil Hartman,Troy McClure
243,7.0,144–716,3F13,Lisa the Iconoclast,Donald Sutherland,Hollis Hurlbut
244,7.0,144–716,3F13,Lisa the Iconoclast,Marcia Wallace,Edna Krabappel
245,7.0,146–718,3F16,The Day the Violence Died,Kirk Douglas,Chester J. Lampwick
246,7.0,146–718,3F16,The Day the Violence Died,Phil Hartman,Lionel Hutz
247,7.0,146–718,3F16,The Day the Violence Died,Alex Rocco,Roger Meyers Jr.
248,7.0,146–718,3F16,The Day the Violence Died,Jack Sheldon,Amendment
249,7.0,146–718,3F16,The Day the Violence Died,Suzanne Somers,Herself
250,7.0,147–719,3F15,A Fish Called Selma,Jeff Goldblum,MacArthur Parker
251,7.0,147–719,3F15,A Fish Called Selma,Phil Hartman,Troy McClure; Fat Tony
252,7.0,148–720,3F17,Bart on the Road,Jim Lau,Hong Kong doctor
253,7.0,149–721,3F18,22 Short Films About Springfield,Phil Hartman,Lionel Hutz; Hospital chairman
254,7.0,150–722,3F19,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",Marcia Wallace,Edna Krabappel
255,7.0,151–723,3F20,Much Apu About Nothing,Joe Mantegna,Fat Tony
256,7.0,152–724,3F21,Homerpalooza,Cypress Hill,Themselves
257,7.0,152–724,3F21,Homerpalooza,Peter Frampton,Himself
