id,city,state,city_size,mode,n,percent,moe,state_abb,state_region
329,DeSoto city,Texas,Small,Bike,0.0,0.0,0.2,TX,South
330,Diamond Bar city,California,Small,Bike,7.0,0.0,0.1,CA,West
331,Dinuba city,California,Small,Bike,14.0,0.2,0.3,CA,West
332,Dodge City city,Kansas,Small,Bike,42.0,0.3,0.3,KS,North Central
333,Dolton village,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
334,Doral city,Florida,Small,Bike,5.0,0.0,0.1,FL,South
335,Dothan city,Alabama,Small,Bike,51.0,0.2,0.1,AL,South
336,Douglasville city,Georgia,Small,Bike,1.0,0.0,0.1,GA,South
337,Dover city,Delaware,Small,Bike,12.0,0.1,0.1,DE,South
338,Dover city,New Hampshire,Small,Bike,43.0,0.3,0.3,NH,Northeast
339,Downers Grove village,Illinois,Small,Bike,176.0,0.7,0.4,IL,North Central
340,Draper city,Utah,Small,Bike,35.0,0.2,0.2,UT,West
341,Duarte city,California,Small,Bike,14.0,0.2,0.2,CA,West
342,Dublin city,California,Small,Bike,69.0,0.3,0.2,CA,West
343,Dublin city,Ohio,Small,Bike,16.0,0.1,0.1,OH,North Central
344,Dubuque city,Iowa,Small,Bike,43.0,0.1,0.1,IA,North Central
345,Duluth city,Georgia,Small,Bike,0.0,0.0,0.3,GA,South
346,Duluth city,Minnesota,Small,Bike,343.0,0.8,0.3,MN,North Central
347,Duncan city,Oklahoma,Small,Bike,18.0,0.2,0.3,OK,South
348,Duncanville city,Texas,Small,Bike,14.0,0.1,0.1,TX,South
349,Dunedin city,Florida,Small,Bike,296.0,1.9,0.8,FL,South
350,Dunwoody city,Georgia,Small,Bike,32.0,0.1,0.2,GA,South
351,Eagan city,Minnesota,Small,Bike,128.0,0.4,0.2,MN,North Central
352,Eagle city,Idaho,Small,Bike,48.0,0.6,0.5,ID,West
353,Eagle Mountain city,Utah,Small,Bike,0.0,0.0,0.4,UT,West
354,Eagle Pass city,Texas,Small,Bike,11.0,0.1,0.2,TX,South
355,Easley city,South Carolina,Small,Bike,11.0,0.1,0.2,SC,South
356,East Chicago city,Indiana,Small,Bike,0.0,0.0,0.3,IN,North Central
357,East Lansing city,Michigan,Small,Bike,1374.0,6.8,1.2,MI,North Central
358,East Moline city,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
359,East Orange city,New Jersey,Small,Bike,17.0,0.1,0.1,NJ,Northeast
360,East Palo Alto city,California,Small,Bike,440.0,3.6,3.6,CA,West
361,East Peoria city,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
362,East Point city,Georgia,Small,Bike,45.0,0.3,0.4,GA,South
363,East Providence city,Rhode Island,Small,Bike,78.0,0.4,0.3,RI,Northeast
364,East Ridge city,Tennessee,Small,Bike,3.0,0.0,0.1,TN,South
365,East St. Louis city,Illinois,Small,Bike,48.0,0.6,0.5,IL,North Central
366,Easton city,Pennsylvania,Small,Bike,25.0,0.2,0.2,PA,Northeast
367,Eastpointe city,Michigan,Small,Bike,0.0,0.0,0.2,MI,North Central
368,Eastvale city,California,Small,Bike,45.0,0.2,0.3,CA,West
369,Eau Claire city,Wisconsin,Small,Bike,389.0,1.1,0.3,WI,North Central
370,Eden Prairie city,Minnesota,Small,Bike,117.0,0.4,0.4,MN,North Central
371,Edgewater city,Florida,Small,Bike,82.0,0.9,0.9,FL,South
372,Edina city,Minnesota,Small,Bike,220.0,1.0,0.5,MN,North Central
373,Edinburg city,Texas,Small,Bike,90.0,0.3,0.2,TX,South
374,Edmond city,Oklahoma,Small,Bike,106.0,0.3,0.1,OK,South
375,Edmonds city,Washington,Small,Bike,54.0,0.3,0.2,WA,West
376,Edwardsville city,Illinois,Small,Bike,54.0,0.4,0.4,IL,North Central
377,El Centro city,California,Small,Bike,54.0,0.4,0.4,CA,West
378,El Cerrito city,California,Small,Bike,263.0,2.2,0.7,CA,West
379,El Mirage city,Arizona,Small,Bike,23.0,0.2,0.2,AZ,West
380,El Paso de Robles (Paso Robles) city,Ca,Small,Bike,71.0,0.5,0.4,NA,NA
381,Elizabethtown city,Kentucky,Small,Bike,0.0,0.0,0.3,KY,South
382,Elk Grove Village village,Illinois,Small,Bike,22.0,0.1,0.2,IL,North Central
383,Elk River city,Minnesota,Small,Bike,26.0,0.2,0.2,MN,North Central
384,Elkhart city,Indiana,Small,Bike,262.0,1.3,0.6,IN,North Central
385,Elmhurst city,Illinois,Small,Bike,46.0,0.2,0.2,IL,North Central
386,Elmira city,New York,Small,Bike,56.0,0.5,0.3,NY,Northeast
387,Elmwood Park village,Illinois,Small,Bike,20.0,0.2,0.2,IL,North Central
388,Elyria city,Ohio,Small,Bike,104.0,0.4,0.3,OH,North Central
389,Emporia city,Kansas,Small,Bike,60.0,0.5,0.5,KS,North Central
390,Encinitas city,California,Small,Bike,470.0,1.6,0.5,CA,West
391,Englewood city,Colorado,Small,Bike,210.0,1.3,0.7,CO,West
392,Englewood city,New Jersey,Small,Bike,35.0,0.3,0.3,NJ,Northeast
393,Enid city,Oklahoma,Small,Bike,28.0,0.1,0.1,OK,South
394,Enterprise city,Alabama,Small,Bike,13.0,0.1,0.1,AL,South
395,Euclid city,Ohio,Small,Bike,14.0,0.1,0.1,OH,North Central
396,Euless city,Texas,Small,Bike,83.0,0.3,0.3,TX,South
397,Eureka city,California,Small,Bike,232.0,1.9,1.0,CA,West
398,Evanston city,Illinois,Small,Bike,1073.0,3.0,0.5,IL,North Central
399,Everett city,Massachusetts,Small,Bike,162.0,0.7,0.5,MA,Northeast
400,Fair Lawn borough,New Jersey,Small,Bike,9.0,0.1,0.1,NJ,Northeast
401,Fairbanks city,Alaska,Small,Bike,301.0,1.9,0.9,AK,West
402,Fairborn city,Ohio,Small,Bike,81.0,0.5,0.5,OH,North Central
403,Fairfax city,Virginia,Small,Bike,23.0,0.2,0.2,VA,South
404,Fairfield city,Ohio,Small,Bike,0.0,0.0,0.1,OH,North Central
405,Fall River city,Massachusetts,Small,Bike,90.0,0.3,0.2,MA,Northeast
406,Faribault city,Minnesota,Small,Bike,12.0,0.1,0.2,MN,North Central
407,Farmers Branch city,Texas,Small,Bike,18.0,0.1,0.2,TX,South
408,Farmington city,Minnesota,Small,Bike,13.0,0.1,0.2,MN,North Central
409,Farmington city,New Mexico,Small,Bike,91.0,0.5,0.5,NM,West
410,Farmington city,Utah,Small,Bike,7.0,0.1,0.2,UT,West
411,Farmington Hills city,Michigan,Small,Bike,82.0,0.2,0.2,MI,North Central
412,Farragut town,Tennessee,Small,Bike,0.0,0.0,0.4,TN,South
413,Fayetteville city,Arkansas,Small,Bike,213.0,0.6,0.3,AR,South
414,Federal Way city,Washington,Small,Bike,49.0,0.1,0.1,WA,West
415,Ferguson city,Missouri,Small,Bike,9.0,0.1,0.2,MO,North Central
416,Ferndale city,Michigan,Small,Bike,62.0,0.6,0.5,MI,North Central
417,Findlay city,Ohio,Small,Bike,155.0,0.8,0.5,OH,North Central
418,Fishers town,Indiana,Small,Bike,49.0,0.1,0.1,IN,North Central
419,Fitchburg city,Massachusetts,Small,Bike,11.0,0.1,0.1,MA,Northeast
420,Fitchburg city,Wisconsin,Small,Bike,119.0,0.9,0.6,WI,North Central
421,Flagstaff city,Arizona,Small,Bike,1713.0,4.9,0.8,AZ,West
422,Florence city,Alabama,Small,Bike,39.0,0.2,0.3,AL,South
423,Florence city,Kentucky,Small,Bike,28.0,0.2,0.2,KY,South
424,Florence city,South Carolina,Small,Bike,94.0,0.6,0.4,SC,South
425,Florence town,Arizona,Small,Bike,0.0,0.0,1.3,AZ,West
426,Florissant city,Missouri,Small,Bike,31.0,0.1,0.1,MO,North Central
427,Flower Mound town,Texas,Small,Bike,38.0,0.1,0.1,TX,South
428,Folsom city,California,Small,Bike,240.0,0.8,0.4,CA,West
429,Fond du Lac city,Wisconsin,Small,Bike,258.0,1.2,0.5,WI,North Central
430,Forest Grove city,Oregon,Small,Bike,72.0,0.8,0.8,OR,West
431,Fort Dodge city,Iowa,Small,Bike,69.0,0.6,0.7,IA,North Central
432,Fort Lee borough,New Jersey,Small,Bike,5.0,0.0,0.1,NJ,Northeast
433,Fort Myers city,Florida,Small,Bike,292.0,1.2,0.6,FL,South
434,Fort Pierce city,Florida,Small,Bike,41.0,0.3,0.3,FL,South
435,Fort Smith city,Arkansas,Small,Bike,26.0,0.1,0.1,AR,South
436,Fort Walton Beach city,Florida,Small,Bike,77.0,0.8,0.6,FL,South
437,Foster City city,California,Small,Bike,68.0,0.5,0.3,CA,West
438,Fountain city,Colorado,Small,Bike,34.0,0.3,0.3,CO,West
439,Fountain Hills town,Arizona,Small,Bike,8.0,0.1,0.2,AZ,West
440,Fountain Valley city,California,Small,Bike,106.0,0.4,0.2,CA,West
441,Frankfort city,Kentucky,Small,Bike,40.0,0.3,0.3,KY,South
442,Franklin city,Indiana,Small,Bike,21.0,0.2,0.2,IN,North Central
443,Franklin city,Tennessee,Small,Bike,45.0,0.1,0.2,TN,South
444,Franklin city,Wisconsin,Small,Bike,0.0,0.0,0.1,WI,North Central
445,Franklin Town city,Massachusetts,Small,Bike,44.0,0.3,0.4,MA,Northeast
446,Frederick city,Maryland,Small,Bike,105.0,0.3,0.2,MD,South
447,Fredericksburg city,Virginia,Small,Bike,86.0,0.7,0.5,VA,South
448,Freeport city,Illinois,Small,Bike,106.0,1.0,0.7,IL,North Central
449,Freeport village,New York,Small,Bike,170.0,0.8,0.6,NY,Northeast
450,Fremont city,Nebraska,Small,Bike,80.0,0.6,0.6,NE,North Central
451,Fridley city,Minnesota,Small,Bike,61.0,0.4,0.4,MN,North Central
