id,Name,Type,Sugar Free?,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Sodium (mg),Caffeine (mg),Serving Weight (g),Serving Description (fl oz),200 Calorie Weight (g)
372,Orange Juice Chilled Includes From Concentrate With Added Calcium And Vitamins A D E,Juice,FALSE,49.0,0.12,0.68,11.54,8.31,2.0,0.0,249.0,16.0,408.163
373,Orange Juice Drink,Juice,FALSE,54.0,0.0,0.2,13.41,9.36,2.0,0.0,249.0,16.0,370.37
374,Orange Juice From Concentrate,Juice,FALSE,49.0,0.12,0.68,11.54,8.31,2.0,0.0,249.0,16.0,408.163
375,Orange Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water,Juice,FALSE,37.0,0.06,0.6,8.8,7.42,4.0,0.0,249.0,16.0,540.541
376,Orange Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water With Added Calcium,Juice,FALSE,37.0,0.06,0.6,8.47,7.42,4.0,0.0,249.0,16.0,540.541
377,Orange Juice Frozen Concentrate Unsweetened Undiluted,Juice,FALSE,148.0,0.25,2.4,35.19,29.68,7.0,0.0,262.0,16.0,135.135
378,Orange Juice Frozen Concentrate Unsweetened Undiluted With Added Calcium,Juice,FALSE,147.0,0.25,2.4,33.86,29.68,7.0,0.0,262.0,16.0,136.054
379,Orange Juice Light No Pulp,Juice,FALSE,21.0,0.0,0.21,5.42,4.17,4.0,0.0,240.0,8.0,952.381
380,Orange Juice With Added Calcium,Juice,FALSE,47.0,0.12,0.68,11.27,8.31,2.0,0.0,249.0,16.0,425.532
381,Orange Juice With Added Calcium And Vitamin D,Juice,FALSE,47.0,0.12,0.68,11.27,8.31,2.0,0.0,249.0,16.0,425.532
382,Orange Pineapple Juice Blend,Juice,FALSE,51.0,0.08,0.41,12.2,10.57,4.0,0.0,246.0,8.0,392.157
383,Orange Soda,Soda,TRUE,48.0,0.0,0.0,12.3,0.0,12.0,0.0,31.0,1.0,416.667
384,Orange-Flavor Drink Breakfast Type With Pulp Frozen Concentrate Prepared With Water,Juice,FALSE,49.0,0.14,0.03,12.21,11.91,10.0,0.0,31.0,1.0,408.163
385,Orange-Flavor Drink Breakfast Type With Pulp Frozen Concentrate. Not Manufactured Anymore.,Juice,FALSE,172.0,0.5,0.1,42.9,11.7,24.0,0.0,35.3,1.0,116.279
386,Orange-Flavor Drink Breakfast Type With Pulp Frozen Concentrate. Not Manufactured Anymore.,Juice,FALSE,172.0,0.5,0.1,42.9,11.7,24.0,0.0,35.3,1.0,116.279
387,Pepper Soda,Soda,TRUE,41.0,0.1,0.0,10.4,0.0,10.0,10.0,30.7,1.0,487.805
388,Pepsico Quaker Gatorade G Performance O 2 Ready-To-Drink.,Energy Drink,FALSE,26.0,0.0,0.0,6.43,5.24,39.0,0.0,30.5,1.0,769.231
389,Pepsico Quaker Gatorade G2 Low Calorie,Energy Drink,FALSE,8.0,0.01,0.05,1.94,1.3,45.0,0.0,237.0,8.0,2500.0
390,Pineapple And Grapefruit Juice Drink Canned,Juice,FALSE,47.0,0.1,0.2,11.6,11.52,14.0,0.0,31.3,1.0,425.532
391,Pineapple And Orange Juice Drink Canned,Juice,FALSE,50.0,0.0,1.3,11.8,11.59,3.0,0.0,31.3,1.0,400.0
392,Pineapple Juice Canned Not From Concentrate Unsweetened With Added Vitamins A C And E,Juice,FALSE,50.0,0.14,0.36,12.18,9.98,3.0,0.0,250.0,16.0,400.0
393,Pineapple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,Juice,FALSE,53.0,0.12,0.36,12.87,9.98,2.0,0.0,250.0,16.0,377.358
394,Pineapple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water,Juice,FALSE,51.0,0.03,0.4,12.67,12.47,1.0,0.0,250.0,16.0,392.157
395,Pink Grapefruit Juice,Juice,TRUE,39.0,0.1,0.5,9.2,0.0,1.0,0.0,247.0,16.0,512.821
396,Pomegranate Juice Bottled,Juice,FALSE,54.0,0.29,0.15,13.13,12.65,9.0,0.0,249.0,16.0,370.37
397,Powerade Zero Ion4 Calorie-Free Assorted Flavors,Energy Drink,TRUE,0.0,0.0,0.0,0.0,0.0,42.0,0.0,237.0,8.0,0.0
398,Propel Zero Fruit-Flavored Non-Carbonated,Energy Drink,TRUE,5.0,0.0,0.0,1.14,0.0,33.0,0.0,29.6,1.0,4000.0
399,Purple Passion Fruit Juice,Juice,FALSE,51.0,0.05,0.39,13.6,13.4,6.0,0.0,247.0,16.0,392.157
400,Root Beer,Soda,FALSE,41.0,0.0,0.0,10.6,10.6,13.0,0.0,30.8,1.0,487.805
401,Ruby Red Grapefruit Juice Blend (Grapefruit Grape Apple) Ocean Spray Bottled With Added Vitamin C,Juice,FALSE,44.0,0.1,0.5,10.53,10.3,8.0,0.0,248.0,8.0,454.545
402,Shake Fast Food Strawberry,Other,TRUE,113.0,2.8,3.4,18.9,0.0,83.0,0.0,23.5,1.0,176.991
403,Shake Fast Food Vanilla,Other,FALSE,148.0,6.52,3.37,19.59,13.63,81.0,0.0,20.8,1.0,135.135
404,Sheep Milk,Milk,TRUE,108.0,7.0,5.98,5.36,0.0,44.0,0.0,245.0,16.0,185.185
405,Skim Milk,Milk,FALSE,34.0,0.08,3.37,4.96,5.09,42.0,0.0,245.0,16.0,588.235
406,Slimfast Meal Replacement High Protein Shake Ready-To-Drink 3-2-1 Plan,Other,FALSE,61.0,3.38,6.59,0.85,0.6,72.0,0.0,295.0,16.0,327.869
407,Soft Drink Fruit Flavored Caffeine Containing,Soda,FALSE,49.0,0.0,0.0,12.83,12.9,18.0,15.0,31.0,1.0,408.163
408,Sprite,Soda,FALSE,40.0,0.02,0.05,10.14,8.98,9.0,0.0,30.8,1.0,500.0
409,Strawberry Milk Fat Free,Milk,FALSE,56.0,0.09,3.17,10.75,10.65,42.0,0.0,31.0,1.0,357.143
410,Strawberry Milk Low Fat,Milk,FALSE,63.0,0.92,3.17,10.78,10.75,44.0,0.0,248.0,16.0,317.46
411,Strawberry Milk Nfs,Milk,FALSE,52.0,1.97,3.28,5.25,5.45,47.0,0.0,31.0,1.0,384.615
412,Strawberry Milk Non-Dairy,Milk,FALSE,62.0,1.19,1.42,11.5,10.52,54.0,0.0,248.0,16.0,322.581
413,Strawberry Milk Reduced Fat,Milk,FALSE,71.0,1.87,3.1,10.6,10.62,46.0,0.0,248.0,16.0,281.69
414,Strawberry Milk Whole,Milk,FALSE,81.0,3.06,2.96,10.6,10.61,43.0,0.0,248.0,16.0,246.914
415,Sweetened Condensed Milk,Milk,FALSE,321.0,8.7,7.91,54.4,54.4,127.0,0.0,38.2,1.0,62.305
416,Sweetened Vanilla Almond Milk,Milk,FALSE,38.0,1.04,0.42,6.59,6.25,63.0,0.0,240.0,8.0,526.316
417,Tangerine Juice,Juice,FALSE,43.0,0.2,0.5,10.1,9.9,1.0,0.0,247.0,16.0,465.116
418,Tap Water,Water,TRUE,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.6,1.0,0.0
419,Tea Black Brewed Prepared With Distilled Water,Tea,TRUE,1.0,0.0,0.0,0.3,0.0,0.0,20.0,29.6,1.0,20000.0
420,Tea Black Brewed Prepared With Tap Water Decaffeinated,Tea,TRUE,1.0,0.0,0.0,0.3,0.0,3.0,1.0,29.6,1.0,20000.0
421,Tea Black Ready To Drink Decaffeinated,Tea,FALSE,38.0,0.0,0.0,8.75,7.92,8.0,1.0,240.0,16.0,526.316
422,Tea Black Ready To Drink Decaffeinated Diet,Tea,TRUE,0.0,0.0,0.0,0.83,0.0,4.0,1.0,240.0,16.0,0.0
423,Tea Black Ready-To-Drink Lemon Diet,Tea,TRUE,1.0,0.0,0.0,0.22,0.0,17.0,2.0,265.0,16.0,20000.0
424,Tea Black Ready-To-Drink Lemon Sweetened,Tea,FALSE,45.0,0.22,0.0,10.8,9.49,3.0,9.0,271.0,16.0,444.444
425,Tea Black Ready-To-Drink Peach Diet,Tea,TRUE,1.0,0.0,0.0,0.25,0.0,5.0,4.0,268.0,16.0,20000.0
426,Tea Green Brewed Decaffeinated,Tea,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,16.0,0.0
427,Tea Green Brewed Regular,Tea,TRUE,1.0,0.0,0.22,0.0,0.0,1.0,12.0,245.0,16.0,20000.0
428,Tea Green Instant Decaffeinated Lemon Unsweetened Fortified With Vitamin C,Tea,TRUE,378.0,0.0,0.0,94.45,0.0,0.0,0.0,4.5,1.0,52.91
429,Tea Green Instant Decaffeinated Lemon Unsweetened Fortified With Vitamin C,Tea,TRUE,378.0,0.0,0.0,94.45,0.0,0.0,0.0,4.5,1.0,52.91
430,Tea Green Ready To Drink Ginseng And Honey Sweetened,Tea,FALSE,30.0,0.18,0.0,7.16,6.87,2.0,4.0,260.0,16.0,666.667
431,Tea Green Ready-To-Drink Sweetened,Tea,FALSE,27.0,0.22,0.0,6.2,5.32,21.0,5.0,270.0,16.0,740.741
432,Tea Herb Brewed Chamomile,Tea,TRUE,1.0,0.0,0.0,0.2,0.0,1.0,0.0,29.6,1.0,20000.0
433,Tea Herb Other Than Chamomile Brewed,Tea,TRUE,1.0,0.0,0.0,0.2,0.0,1.0,0.0,29.6,1.0,20000.0
434,Tea Hibiscus Brewed,Tea,TRUE,0.0,0.0,0.0,0.0,0.0,4.0,0.0,237.0,8.0,0.0
435,Tea Hot Chai With Milk,Tea,FALSE,50.0,0.98,1.55,8.98,8.82,22.0,9.0,30.0,1.0,400.0
436,Tea Iced Brewed Black Decaffeinated Pre-Sweetened With Low Calorie Sweetener,Tea,FALSE,2.0,0.0,0.0,0.68,0.33,3.0,1.0,30.0,1.0,10000.0
437,Tea Iced Brewed Black Decaffeinated Pre-Sweetened With Sugar,Tea,FALSE,31.0,0.0,0.0,7.97,7.68,3.0,1.0,31.0,1.0,645.161
438,Tea Iced Brewed Black Pre-Sweetened With Low Calorie Sweetener,Tea,FALSE,2.0,0.0,0.0,0.68,0.33,3.0,20.0,30.0,1.0,10000.0
439,Tea Iced Brewed Black Pre-Sweetened With Sugar,Tea,FALSE,31.0,0.0,0.0,7.97,7.68,3.0,18.0,31.0,1.0,645.161
440,Tea Iced Brewed Green Decaffeinated Pre-Sweetened With Low Calorie Sweetener,Tea,FALSE,1.0,0.0,0.0,0.38,0.33,0.0,0.0,30.0,1.0,20000.0
441,Tea Iced Brewed Green Decaffeinated Pre-Sweetened With Sugar,Tea,FALSE,30.0,0.0,0.0,7.69,7.68,0.0,0.0,31.0,1.0,666.667
442,Tea Iced Brewed Green Pre-Sweetened With Low Calorie Sweetener,Tea,FALSE,2.0,0.0,0.22,0.38,0.33,1.0,12.0,30.0,1.0,10000.0
443,Tea Iced Brewed Green Pre-Sweetened With Sugar,Tea,FALSE,31.0,0.0,0.2,7.69,7.68,1.0,11.0,31.0,1.0,645.161
444,Tea Instant Decaffeinated Lemon Diet,Tea,FALSE,338.0,0.6,3.3,85.4,1.88,412.0,57.0,1.6,1.0,59.172
445,Tea Instant Lemon Diet,Tea,FALSE,2.0,0.0,0.02,0.44,0.01,6.0,11.0,29.8,1.0,10000.0
446,Tea Instant Lemon Sweetened Prepared With Water,Tea,FALSE,35.0,0.06,0.01,8.61,8.33,2.0,3.0,259.0,8.0,571.429
447,Tea Instant Unsweetened Prepared With Water,Tea,FALSE,1.0,0.0,0.06,0.17,0.02,4.0,11.0,29.7,1.0,20000.0
448,Tea Ready-To-Drink Lemon Diet,Tea,TRUE,2.0,0.0,0.0,0.41,0.0,1.0,8.0,266.0,16.0,10000.0
449,The Coca-Cola Company Dasani Water Bottled Non-Carbonated,Water,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0,0.0
450,The Coca-Cola Company Glaceau Vitamin Water Revive Fruit Punch Fortified,Energy Drink,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,20.0,0.0
451,The Coca-Cola Company Hi-C Flashin Fruit Punch,Juice,FALSE,45.0,0.0,0.0,12.5,12.5,8.0,0.0,200.0,6.0,444.444
452,The Coca-Cola Company Nos Energy Drink Original Grape Loaded Cherry Charged Citrus Fortified With Vitamins B6 And B12,Energy Drink,FALSE,44.0,0.0,0.0,11.25,11.25,85.0,34.0,480.0,16.0,454.545
453,The Coca-Cola Company Nos Zero Energy Drink Sugar-Free With Guarana Fortified With Vitamins B6 And B12,Energy Drink,TRUE,4.0,0.0,0.0,1.03,0.0,85.0,34.0,480.0,16.0,5000.0
454,Tonic Water,Soda,FALSE,34.0,0.0,0.0,8.8,8.8,12.0,0.0,30.5,1.0,588.235
455,Unilever Slimfast Meal Replacement Regular Ready-To-Drink 3-2-1 Plan,Other,FALSE,57.0,1.93,3.32,7.74,5.95,68.0,0.0,295.0,9.0,350.877
456,Unsweetened Almond Milk,Milk,FALSE,15.0,0.96,0.4,1.31,0.81,72.0,0.0,262.0,16.0,1333.333
457,Unsweetened Chocolate Almond Milk,Milk,TRUE,21.0,1.46,0.83,1.25,0.0,75.0,0.0,240.0,16.0,952.381
458,Unsweetened Rice Milk,Milk,FALSE,47.0,0.97,0.28,9.17,5.28,39.0,0.0,240.0,8.0,425.532
459,V8 Splash Juice Drinks Berry Blend,Juice,FALSE,29.0,0.0,0.0,7.41,7.41,21.0,0.0,243.0,8.0,689.655
460,V8 Splash Juice Drinks Diet Berry Blend,Juice,FALSE,4.0,0.0,0.0,1.23,0.41,14.0,0.0,243.0,8.0,5000.0
461,V8 Splash Juice Drinks Diet Fruit Medley,Juice,FALSE,4.0,0.0,0.0,1.26,0.84,13.0,0.0,238.0,8.0,5000.0
462,V8 Splash Juice Drinks Diet Strawberry Kiwi,Juice,FALSE,4.0,0.0,0.0,1.26,0.84,13.0,0.0,238.0,8.0,5000.0
463,V8 Splash Juice Drinks Diet Tropical Blend,Juice,FALSE,4.0,0.0,0.0,1.26,0.42,15.0,0.0,238.0,8.0,5000.0
464,V8 Splash Juice Drinks Fruit Medley,Juice,FALSE,33.0,0.0,0.0,7.82,7.82,21.0,0.0,243.0,8.0,606.061
465,V8 Splash Juice Drinks Guava Passion Fruit,Juice,FALSE,33.0,0.0,0.0,7.82,7.82,14.0,0.0,243.0,8.0,606.061
466,V8 Splash Juice Drinks Mango Peach,Juice,FALSE,33.0,0.0,0.0,8.23,8.23,16.0,0.0,243.0,8.0,606.061
467,V8 Splash Juice Drinks Orange Pineapple,Juice,FALSE,29.0,0.0,0.0,7.41,7.41,21.0,0.0,243.0,8.0,689.655
468,V8 Splash Juice Drinks Orchard Blend,Juice,FALSE,33.0,0.0,0.0,7.82,7.82,21.0,0.0,243.0,8.0,606.061
469,V8 Splash Juice Drinks Strawberry Banana,Juice,FALSE,29.0,0.0,0.0,7.41,7.41,21.0,0.0,243.0,8.0,689.655
470,V8 Splash Juice Drinks Strawberry Kiwi,Juice,FALSE,29.0,0.0,0.0,7.41,7.41,21.0,0.0,243.0,8.0,689.655
471,V8 Splash Juice Drinks Tropical Blend,Juice,FALSE,29.0,0.0,0.0,7.41,7.41,21.0,0.0,243.0,8.0,689.655
472,V8 Splash Smoothies Peach Mango,Juice,FALSE,37.0,0.0,1.22,7.76,7.35,29.0,0.0,245.0,8.0,540.541
473,V8 Splash Smoothies Strawberry Banana,Juice,FALSE,37.0,0.0,1.22,8.16,7.35,29.0,0.0,245.0,8.0,540.541
474,V8 Splash Smoothies Tropical Colada,Juice,FALSE,41.0,0.0,1.22,8.54,7.32,20.0,0.0,246.0,8.0,487.805
475,V8 V- Fusion Juices Acai Berry,Juice,FALSE,45.0,0.0,0.0,10.98,10.57,28.0,0.0,246.0,8.0,444.444
476,V8 V-Fusion Juices Peach Mango,Juice,FALSE,49.0,0.0,0.41,11.38,10.57,28.0,0.0,246.0,8.0,408.163
477,V8 V-Fusion Juices Strawberry Banana,Juice,FALSE,49.0,0.0,0.41,11.79,10.16,28.0,0.0,246.0,8.0,408.163
478,V8 V-Fusion Juices Tropical,Juice,FALSE,49.0,0.0,0.41,11.38,10.16,33.0,0.0,246.0,8.0,408.163
479,Vegetable And Fruit Juice Blend 100% Juice With Added Vitamins A C E,Juice,FALSE,46.0,0.01,0.3,11.15,10.37,29.0,0.0,246.0,8.0,434.783
480,Vegetable And Fruit Juice Drink Reduced Calorie With Low-Calorie Sweetener Added Vitamin C,Juice,FALSE,4.0,0.0,0.0,1.1,0.63,14.0,0.0,238.0,8.0,5000.0
481,Vitamin Fortified Water,Water,TRUE,5.0,0.0,0.0,1.25,0.0,10.0,0.0,240.0,8.0,4000.0
482,Water Bottled Non-Carbonated Calistoga,Water,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0,0.0
483,Water Bottled Non-Carbonated Crystal Geyser,Water,TRUE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.6,1.0,0.0
484,Water Bottled Non-Carbonated Dannon,Water,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0,0.0
485,Water Bottled Non-Carbonated Dannon Fluoride To Go,Water,TRUE,0.0,0.0,0.0,0.03,0.0,1.0,0.0,29.6,1.0,0.0
486,Water Bottled Non-Carbonated Evian,Water,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0,0.0
487,Water Bottled Non-Carbonated Naya,Water,TRUE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.6,1.0,0.0
488,Water Bottled Non-Carbonated Pepsi Aquafina,Water,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0,0.0
489,Water Bottled Perrier,Water,TRUE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.6,1.0,0.0
490,Water Bottled Poland Spring,Water,TRUE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.6,1.0,0.0
491,Water Non-Carbonated Bottles Natural Fruit Flavors Sweetened With Low Calorie Sweetener,Tea,TRUE,1.0,0.0,0.0,0.13,0.0,14.0,0.0,29.6,1.0,20000.0
492,Water Tap Municipal,Water,TRUE,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.6,1.0,0.0
493,Water With Added Vitamins And Minerals Bottles Sweetened Assorted Fruit Flavors,Water,FALSE,22.0,0.0,0.0,5.49,5.49,0.0,0.0,237.0,8.0,909.091
494,Well Water,Water,TRUE,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.6,1.0,0.0
495,Wendys Tea Ready-To-Drink Unsweetened,Tea,TRUE,1.0,0.0,0.22,0.0,0.0,3.0,8.0,29.6,1.0,20000.0
496,White Grapefruit Juice,Juice,FALSE,39.0,0.1,0.5,9.2,9.1,1.0,0.0,247.0,16.0,512.821
497,Whole Milk,Milk,FALSE,61.0,3.25,3.15,4.8,5.05,43.0,0.0,244.0,16.0,327.869
498,Yellow Green Colored Citrus Soft Drink With Caffeine,Juice,FALSE,49.0,0.0,0.0,12.83,12.9,18.0,15.0,473.0,16.0,408.163
499,Yellow Passion Fruit Juice,Juice,FALSE,60.0,0.18,0.67,14.45,14.25,6.0,0.0,247.0,16.0,333.333
500,Zevia Cola,Soda,TRUE,0.0,0.0,0.0,1.13,0.0,6.0,13.0,355.0,12.0,0.0
501,Zevia Cola Caffeine Free,Soda,TRUE,0.0,0.0,0.0,1.13,0.0,6.0,0.0,355.0,12.0,0.0
