id,Name,Type,Sugar Free?,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Sodium (mg),Caffeine (mg),Serving Weight (g),Serving Description (fl oz),200 Calorie Weight (g)
173,Fruit Juice Drink Reduced Sugar (Sunny D),Juice,TRUE,2.0,0.0,0.0,0.95,0.0,4.0,0.0,31.0,1.0,10000.0
174,Fruit Juice Drink Reduced Sugar With Vitamin E Added,Juice,FALSE,39.0,0.07,0.0,10.0,9.0,2.0,0.0,209.0,6.0,512.821
175,Fruit Juice Smoothie Bolthouse Farms Berry Boost,Juice,FALSE,46.0,0.02,0.63,10.9,9.3,4.0,0.0,252.0,16.0,434.783
176,Fruit Juice Smoothie Bolthouse Farms Green Goodness,Juice,FALSE,56.0,0.33,0.63,13.04,11.46,11.0,0.0,230.0,16.0,357.143
177,Fruit Juice Smoothie Bolthouse Farms Strawberry Banana,Juice,FALSE,52.0,0.3,0.44,12.37,10.33,5.0,0.0,233.0,16.0,384.615
178,Fruit Juice Smoothie Naked Juice Green Machine,Juice,FALSE,53.0,0.26,0.6,12.53,11.15,6.0,0.0,275.0,16.0,377.358
179,Fruit Juice Smoothie Naked Juice Mighty Mango,Juice,FALSE,63.0,0.0,0.42,15.0,12.5,4.0,0.0,240.0,8.0,317.46
180,Fruit Juice Smoothie Naked Juice Strawberry Banana,Juice,FALSE,50.0,0.27,0.48,11.66,10.05,2.0,0.0,228.0,16.0,400.0
181,Fruit Juice Smoothie Odwalla Original Superfood,Juice,FALSE,50.0,0.36,0.63,11.51,10.16,3.0,0.0,227.0,16.0,400.0
182,Fruit Juice Smoothie Odwalla Strawberry Banana,Juice,FALSE,48.0,0.32,0.5,11.05,9.9,2.0,0.0,233.0,16.0,416.667
