id,Date,State,Total Confirmed Cases,Total Deaths
308,Thu 10/13,Missouri,1674644,21757
309,Thu 10/13,Montana,312145,3555
310,Thu 10/13,Nebraska,539389,4552
311,Thu 10/13,Nevada,849745,11531
312,Thu 10/13,New Hampshire,353139,2715
313,Thu 10/13,New Jersey,2765472,34813
314,Thu 10/13,New Mexico,621824,8601
315,Thu 10/13,New York,6163421,71422
316,Thu 10/13,North Carolina,3220858,26895
317,Thu 10/13,North Dakota,270288,2430
318,Thu 10/13,Northern Mariana Islands,13171,40
319,Thu 10/13,Ohio,3162278,40037
320,Thu 10/13,Oklahoma,1203469,14924
321,Thu 10/13,Oregon,902319,8622
322,Thu 10/13,Pennsylvania,3280190,47442
323,Thu 10/13,Puerto Rico,999011,5206
324,Thu 10/13,Rhode Island,428874,3681
325,Thu 10/13,South Carolina,1715434,18468
326,Thu 10/13,South Dakota,262837,3046
327,Thu 10/13,Tennessee,2290319,27698
328,Thu 10/13,Texas,7894832,91110
329,Thu 10/13,Utah,1041933,5034
330,Thu 10/13,Vermont,143683,732
331,Thu 10/13,Virgin Islands,23238,123
332,Thu 10/13,Virginia,2101702,22012
333,Thu 10/13,Washington,1826131,14468
334,Thu 10/13,West Virginia,603859,7457
335,Thu 10/13,Wisconsin,1879656,15344
336,Thu 10/13,Wyoming,177635,1904
337,Fri 10/14,Alabama,1528739,20505
338,Fri 10/14,Alaska,297740,1350
339,Fri 10/14,American Samoa,8251,34
340,Fri 10/14,Arizona,2277635,31455
341,Fri 10/14,Arkansas,955518,12359
342,Fri 10/14,California,11317620,96460
343,Fri 10/14,Colorado,1670653,13569
344,Fri 10/14,Connecticut,904993,11403
345,Fri 10/14,Delaware,310993,3136
346,Fri 10/14,District of Columbia,169116,1392
347,Fri 10/14,Florida,7139149,81910
348,Fri 10/14,Georgia,2828618,38882
349,Fri 10/14,Guam,59664,402
350,Fri 10/14,Hawaii,349598,1696
351,Fri 10/14,Idaho,498183,5201
352,Fri 10/14,Illinois,3790782,39843
353,Fri 10/14,Indiana,1930022,24816
354,Fri 10/14,Iowa,859632,10126
355,Fri 10/14,Kansas,883499,9609
356,Fri 10/14,Kentucky,1600312,17111
357,Fri 10/14,Louisiana,1459308,18136
358,Fri 10/14,Maine,293532,2624
359,Fri 10/14,Maryland,1259085,15469
360,Fri 10/14,Massachusetts,2069848,21841
361,Fri 10/14,Michigan,2861595,38919
362,Fri 10/14,Minnesota,1676151,13738
363,Fri 10/14,Mississippi,930438,12945
364,Fri 10/14,Missouri,1677735,21791
365,Fri 10/14,Montana,313031,3566
366,Fri 10/14,Nebraska,539389,4552
367,Fri 10/14,Nevada,850060,11535
368,Fri 10/14,New Hampshire,353387,2715
369,Fri 10/14,New Jersey,2767413,34823
370,Fri 10/14,New Mexico,622170,8603
371,Fri 10/14,New York,6166185,71435
372,Fri 10/14,North Carolina,3220858,26895
373,Fri 10/14,North Dakota,271085,2430
374,Fri 10/14,Northern Mariana Islands,13171,40
375,Fri 10/14,Ohio,3162278,40037
376,Fri 10/14,Oklahoma,1203469,14924
377,Fri 10/14,Oregon,902319,8622
378,Fri 10/14,Pennsylvania,3280190,47442
379,Fri 10/14,Puerto Rico,1000112,5206
380,Fri 10/14,Rhode Island,428874,3681
381,Fri 10/14,South Carolina,1715434,18468
382,Fri 10/14,South Dakota,262837,3046
383,Fri 10/14,Tennessee,2291224,27717
384,Fri 10/14,Texas,7898606,91139
385,Fri 10/14,Utah,1041933,5034
386,Fri 10/14,Vermont,143683,732
387,Fri 10/14,Virgin Islands,23240,123
388,Fri 10/14,Virginia,2102929,22032
389,Fri 10/14,Washington,1827975,14485
390,Fri 10/14,West Virginia,604108,7470
391,Fri 10/14,Wisconsin,1880837,15352
392,Fri 10/14,Wyoming,177635,1904
393,Sat 10/15,Alabama,1528739,20505
394,Sat 10/15,Alaska,297740,1350
395,Sat 10/15,American Samoa,8251,34
396,Sat 10/15,Arizona,2277635,31455
397,Sat 10/15,Arkansas,955798,12371
398,Sat 10/15,California,11317620,96460
399,Sat 10/15,Colorado,1670653,13569
400,Sat 10/15,Connecticut,904993,11403
401,Sat 10/15,Delaware,310993,3136
402,Sat 10/15,District of Columbia,169116,1392
403,Sat 10/15,Florida,7139149,81910
404,Sat 10/15,Georgia,2828618,38882
405,Sat 10/15,Guam,59664,402
406,Sat 10/15,Hawaii,349598,1696
407,Sat 10/15,Idaho,498183,5201
408,Sat 10/15,Illinois,3790782,39843
409,Sat 10/15,Indiana,1930022,24816
410,Sat 10/15,Iowa,859632,10126
