id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
117,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/10/2019,21.8,8.0
118,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/10/2019,22.2,9.0
119,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/24/2019,29.1,9.0
120,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/24/2019,18.6,3.0
121,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/24/2019,18.6,3.0
122,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/24/2019,20.6,9.0
123,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/24/2019,20.6,9.0
124,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,11/14/2019,-2.1,3.0
125,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,11/14/2019,-2.1,3.0
126,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/14/2019,-0.9,9.0
127,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/14/2019,-0.9,9.0
128,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,3/10/2020,19.1,3.0
129,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/2/2020,22.2,3.0
130,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/10/2020,25.3,3.0
131,Boston University School of Education GLOBE v-School,Knyvet Square Brookline,42.347932,-71.114776,9/11/2020,18.3,5.0
132,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,9/12/2020,15.4,1.0
133,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/14/2020,22.0,3.0
134,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,9/16/2020,18.2,1.0
135,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/18/2020,19.1,3.0
136,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,9/21/2020,16.7,9.0
137,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,9/21/2020,11.4,1.0
138,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/21/2020,16.9,3.0
139,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,9/21/2020,14.0,3.0
140,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,9/21/2020,34.8,9.0
141,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,9/22/2020,23.5,3.0
142,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/22/2020,24.8,9.0
143,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,9/23/2020,27.3,3.0
144,Boston University School of Education GLOBE v-School,Knyvet Square Brookline,42.347932,-71.114776,9/23/2020,26.5,6.0
145,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,9/23/2020,32.8,9.0
146,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,9/23/2020,20.7,1.0
147,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,9/23/2020,36.9,9.0
148,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/24/2020,35.6,9.0
149,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,9/24/2020,19.0,3.0
150,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/25/2020,20.8,3.0
151,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,9/26/2020,36.6,8.0
152,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,9/27/2020,20.3,3.0
153,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,9/27/2020,36.4,9.0
154,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,9/28/2020,27.9,3.0
