id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
612,Coldwater Rumble,100 Miles,Goodyear,United States,161.9,1750.0,-1750.0,16.0
613,Montane Spine Races,Challenger,Edale,United Kingdom,172.8,4900.0,-4900.0,4.0
614,Montane Spine Races,Montane Spine MRT Challenge,Edale,United Kingdom,172.8,4900.0,-4900.0,4.0
615,Brazil 135+ Ultramarathon,Maratona 4,SãoJoãodaBoaVista,Brazil,166.9,4940.0,-4800.0,0.0
616,S1 Trail La Corsa Della Bora,S1 Ipertrail,TRIESTE,Italy,163.7,6610.0,-6610.0,4.0
617,S1 Trail La Corsa Della Bora,S1 Ipertrail Team,TRIESTE,Italy,163.7,6610.0,-6610.0,1.0
618,UTSZ Autumn Trail Races,100Miles,shenzhen,China,161.6,7150.0,-7120.0,16.0
619,Brazos Bend 100,100M,Needville,United States,158.5,1400.0,-1400.0,0.0
620,The Hitchcock Experience,100 Mile,HoneyCreek,United States,157.1,3620.0,-3630.0,21.0
621,Prazska Stovka,151 Km,Praha,Czech Republic,155.0,4640.0,-4810.0,8.0
622,Ultra-Trail® Panoramic,100Miles,AmphurMuang,Thailand,158.2,6400.0,-6810.0,10.0
623,Wicklow Way 50 Miles,100 Miles,Wicklow,Ireland,161.6,6800.0,-6800.0,6.0
624,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,157.0,7220.0,-7220.0,4.0
625,Ultra-Trail® Three Gorges,172 Km,Yichang,China,167.2,10150.0,-10010.0,17.0
626,Mt.Gaoligong Ultra,160 Km,Tengchong,China,163.0,8130.0,-8180.0,18.0
627,Desafio Extremo Estrada Real 100 Milhas De Sabarabuçu,160 Km,Caete,Brazil,159.3,4750.0,-4490.0,7.0
628,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",169.7,7830.0,-7660.0,15.0
629,Oman Desert Marathon,Oman Desert Marathon,Bidiyah,Oman,166.2,1960.0,-2300.0,14.0
630,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,Shawnee,United States,161.0,4500.0,-4500.0,12.0
631,PINHOTI 100,PINHOTI 100 MILES,Sylacauga,United States,161.9,4930.0,-5060.0,0.0
632,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,171.7,8570.0,-8560.0,15.0
633,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,161.2,4610.0,-4810.0,5.0
634,Javelina Jundred,100 Miles,FortMcDowell,United States,159.4,1760.0,-1760.0,26.0
635,Cactus Rose,100 Mile,Bandera,United States,161.0,4400.0,-4400.0,20.0
636,Autumn Asylum,March Extended,Rajamäki,Finland,160.5,2100.0,-2100.0,2.0
637,Dalmacija Ultra-Trail®,Sky Dut,Omiš,Croatia,161.4,5960.0,-5930.0,12.0
638,Rodopi Advendurun,100 miles,Haidou,Greece,164.1,6610.0,-6610.0,6.0
639,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,SaintDenis,France,167.5,10100.0,-10060.0,0.0
640,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,162.4,2130.0,-2140.0,14.0
641,Hume And Hovell Ultra,100 Mile,Tumbarumba,Australia,160.0,3990.0,-4000.0,10.0
642,Raleigh Challenge - Wilson Trail,Round Trip,HongKong,"Hong Kong, China",155.5,7390.0,-7390.0,9.0
643,The Cederberg Traverse,100 Mile,Cederberg,South Africa,166.1,7390.0,-7390.0,3.0
644,The North Face Endurance Challenge Chile,160 Km,Huechuraba,Chile,160.1,8970.0,-8720.0,16.0
645,Salomon Bhatti Lakes,160 Km,Faridabad,India,158.3,2390.0,-2370.0,0.0
646,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,161.8,2780.0,-2760.0,7.0
647,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,165.2,7580.0,-7580.0,15.0
648,OSJ Koumi,100 Miles,KoumiTown,Japan,166.6,8510.0,-8520.0,4.0
649,Bromont Ultra,160km,Bromont,Canada,162.5,6240.0,-6240.0,17.0
650,100 Miles Sud De France,100 Miles,bolquere,France,164.3,8060.0,-9800.0,15.0
651,Grindstone 100,Grindstone 100,Swoope,United States,159.6,6980.0,-6980.0,15.0
652,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,168.0,6610.0,-6610.0,15.0
653,Cloudsplitter 100,100 Mile,Norton,United States,160.7,6930.0,-6930.0,10.0
654,NERANG 100 miler 2016,NERANG 100 miler,Nerang,Australia,160.0,5550.0,-5550.0,6.0
655,Cotswold Way Century,100 Miles,ChippingCampden,United Kingdom,166.7,4210.0,-4370.0,10.0
656,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,169.7,6020.0,-6020.0,13.0
657,St Oswald's Ultra,100 Mile,Chollerford,United Kingdom,164.4,2160.0,-2200.0,13.0
658,Waterous Trail On Foot,WTF 100,Dwellingup,Australia,161.6,3190.0,-3190.0,9.0
659,BEAR 100,BEAR 100,Smithfield,United States,161.1,5620.0,-5620.0,13.0
660,Black River Run,100 Miles,Västerås,Sweden,161.2,1040.0,-1050.0,9.0
661,Mark Twain Endurance Races,100 Mile,Berryman,United States,156.4,2530.0,-2530.0,6.0
662,Kodiak Ultra Marathons,Kodiak 100 Mi,BigBearLake,United States,163.8,5140.0,-5140.0,16.0
663,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,164.2,7767.0,-7765.0,0.0
664,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,170.6,5530.0,-5530.0,6.0
665,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,158.8,6680.0,-6680.0,17.0
666,Le Grand Raid Des Pyrénées,GRP160 Ultra,vielle-Aure,France,163.3,9590.0,-9590.0,0.0
667,UTMB®,UTMB®,Chamonix,France,171.0,10080.0,-10080.0,16.0
668,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,157.1,7130.0,-7130.0,13.0
669,Ultra Tour Des 4 Massifs,Ut4M160 Xtrem,Grenoble,France,163.2,10530.0,-10530.0,15.0
670,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,Arcadia,United States,160.8,6350.0,-7770.0,15.0
671,Burning River Endurance Run,100 Mile,Hudson,United States,163.0,2470.0,-2470.0,20.0
672,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,170.2,3490.0,-3520.0,14.0
673,Silverheels Endurance Run,100 Mile,Fairplay,United States,168.2,5450.0,-5450.0,16.0
674,Ouray 100 Mile Endurance Run,100 Mile,Ouray,United States,167.2,11420.0,-11420.0,15.0
675,SALOMON ALPEN X 100 Powered By LED LENSER,100 Miles,Seefeld,Austria,163.9,10230.0,-10860.0,11.0
676,Chiemgauer 100,100 Mile,Bergen,Germany,160.0,7500.0,-7500.0,9.0
677,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,160.7,1600.0,-1590.0,5.0
678,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,162.7,6140.0,-6140.0,0.0
679,Vermont 100 Endurance Race,100M,WestWindsor,United States,162.0,4530.0,-4530.0,19.0
680,YOU YANGS,100 MI,LittleRiver,Australia,156.7,2960.0,-2960.0,2.0
681,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Ordino,Andorra,170.0,13500.0,-13500.0,0.0
682,GRAND TRAIL STEVENSON,GTS 3 jours - B,Saint-Etienne-Vallée-Française,France,156.2,5143.0,-5986.0,6.0
683,Sinister 7 Ultra,Solo,Blairmore,Canada,155.3,4300.0,-4270.0,15.0
684,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,170.7,10152.0,-10152.0,15.0
685,CHICAMOCHA RUN,160K,CUNDINAMARCA,Colombia,165.1,8520.0,-7400.0,10.0
686,Western States Endurance Run,Western States Endurance Run,Auburn,United States,160.3,5950.0,-7490.0,21.0
687,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,161.0,3425.0,-3425.0,0.0
688,Bighorn Trail Run,100M,Sheridan,United States,167.3,6740.0,-6800.0,7.0
689,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,156.7,3390.0,-3440.0,14.0
690,Chicamocha Canyon Race,165 Km,SanGil,Colombia,164.6,8690.0,-8690.0,6.0
691,Kettle Moraine 100,100 Mile,LaGrange,United States,160.9,2650.0,-2650.0,12.0
692,Bryce Canyon,100 Mile,Hatch,United States,159.4,4800.0,-4800.0,13.0
693,Oh Meu Deus,K 160+,Seia,Portugal,159.6,7730.0,-7730.0,12.0
694,SAN DIEGO 100,San Diego 100,Oceanside,United States,158.0,4020.0,-4030.0,15.0
695,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,166.2,6690.0,-6690.0,10.0
696,SULPHUR SPRINGS,100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
697,Borås Ultra Marathon,BUM 100 Miles,Borås,Sweden,158.8,3100.0,-3180.0,10.0
698,NUTS Karhunkierros,160k,Kuusamo,Finland,162.4,1730.0,-1720.0,7.0
699,The Himalayan Crossing and The Spiti,The Spiti,Kaza,India,171.6,4970.0,-4670.0,6.0
700,Hardcore Hundred Miles Trail Ultramarathon,100 MILES - H1,Kayapa,Philippines,155.3,10095.0,-10101.0,11.0
701,Cruel Jewel,Cruel Jewel 100,Blairsville,United States,174.2,8520.0,-8510.0,11.0
702,Malaysia Eco 100,100 miles,BukitMertajam,Malaysia,164.7,4340.0,-4300.0,15.0
703,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.5,5840.0,-5840.0,12.0
704,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,166.9,1532.0,-1502.0,13.0
705,Mustang Trail Race,Mustang Trail Race,Kathmandu,Nepal,167.7,8850.0,-8110.0,8.0
706,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,158.2,1540.0,-1540.0,13.0
707,Zion,100 Mile,Virgin,United States,156.7,3690.0,-3690.0,14.0
708,100 Miles Of Istria,100 Miles,Umag,Croatia,170.9,7120.0,-7400.0,12.0
709,Badger Mountain Challenge,100 Mile,Kennewick,United States,156.7,4760.0,-4750.0,15.0
710,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,155.8,8230.0,-8230.0,12.0
711,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,160.1,2791.0,-2800.0,17.0
712,Addo Elephant Trail Run,100 Mile,Addo,South Africa,161.2,5640.0,-5170.0,16.0
713,Ultra Desafio Passa Quatro - MG,160 Km,PASSAQUATRO,Brazil,158.4,5440.0,-5420.0,10.0
714,Run The Rann,Ultra Trail 161 Km,Dholavira,India,155.5,670.0,-650.0,12.0
715,Ultra Trail Hong Kong,UTHK 170,HongKong,"Hong Kong, China",157.7,7600.0,-7630.0,13.0
716,Coldwater Rumble,100 Miles,Goodyear,United States,161.2,1620.0,-1620.0,19.0
717,Montane Spine Races,Challenger,Edale,United Kingdom,170.5,4750.0,-4750.0,4.0
718,Montane Spine Races,Montane Spine MRT Challenge,Edale,United Kingdom,170.5,4750.0,-4750.0,4.0
719,UTSZ,100 Miles,Shenzhen,China,165.1,7946.0,-7866.0,16.0
720,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,161.4,7302.0,-7321.0,4.0
721,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",170.4,8100.0,-8290.0,16.0
722,Ultra-Trail® Three Gorges,100 Miles,Yichang,China,174.1,9080.0,-9100.0,17.0
723,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,Shawnee,United States,161.0,4500.0,-4500.0,12.0
724,PINHOTI 100,PINHOTI 100 MILES,Sylacauga,United States,161.9,4930.0,-5060.0,0.0
725,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,171.7,8570.0,-8560.0,15.0
726,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,161.2,4610.0,-4810.0,5.0
727,Javelina Jundred,100 Miles,FortMcDowell,United States,163.4,1850.0,-1850.0,26.0
728,Cactus Rose,100 Mile,Bandera,United States,161.0,4400.0,-4400.0,20.0
729,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,SaintDenis,France,160.8,10410.0,-10360.0,0.0
730,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,162.4,2130.0,-2140.0,15.0
731,The North Face Endurance Challenge Chile,160 Km,Huechuraba,Chile,161.7,7612.0,-7330.0,16.0
732,Rodopi Advendurun,100 miles,Haidou,Greece,164.1,6610.0,-6610.0,0.0
733,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,161.3,2160.0,-2142.0,7.0
734,OSJ Koumi,100 Miles,KoumiTown,Japan,166.6,8510.0,-8520.0,4.0
735,Raleigh Challenge - Wilson Trail,Tornado 156,HongKong,"Hong Kong, China",169.4,7580.0,-7950.0,9.0
736,100 Miles Sud De France,100 Miles,bolquere,France,164.6,8000.0,-9734.0,15.0
737,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,168.0,6610.0,-6610.0,15.0
738,Cloudsplitter 100,100 Mile,Norton,United States,160.7,6930.0,-6930.0,10.0
739,Grindstone 100,Grindstone 100,Swoope,United States,160.0,6990.0,-6990.0,15.0
740,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Fontanafredda,Italy,160.5,7218.0,-7203.0,16.0
741,Cotswold Way Century,100 Miles,ChippingCampden,United Kingdom,164.6,4090.0,-4200.0,10.0
742,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,169.7,6020.0,-6020.0,13.0
743,St Oswald's Ultra,100 Mile,Chollerford,United Kingdom,164.4,2160.0,-2200.0,13.0
744,BEAR 100,BEAR 100,Smithfield,United States,156.8,6550.0,-6200.0,13.0
745,Ultra-Trail Mt. Fuji,UTMF,Fuji,Japan,168.9,7180.0,-7170.0,12.0
746,Black River Run,100 Miles,Västerås,Sweden,161.2,1040.0,-1050.0,9.0
747,KODIAK 100,KODIAK 100 MI,BigBearLake,United States,156.8,5330.0,-5330.0,0.0
748,L'Infernal Trail Des Vosges,160 Km,SaintNabord,France,171.6,6560.0,-6560.0,10.0
749,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,164.2,7767.0,-7765.0,0.0
750,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Lethbridge,Canada,161.1,5535.0,-5535.0,6.0
751,Desafio Extremo Estrada Real 100 Milhas De Sabarabuçu,160 Km,Caete,Brazil,161.0,5153.0,-4821.0,7.0
752,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,Lutsen,United States,166.0,5099.0,-4952.0,0.0
753,THE GREAT NASEBY WATER RACE,THE GREAT NASEBY WATER RACE - 160KM,Dunedin,New Zealand,162.7,2350.0,-2350.0,31.0
754,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,169.6,10060.0,-10060.0,16.0
755,Le Grand Raid Des Pyrénées,GRP160 Ultra,vielle-Aure,France,161.35,9536.0,-9536.0,0.0
756,Rampage The Roots,Ghosts Of Yellowstone 100M,Pony,United States,166.0,7130.0,-7120.0,15.0
757,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,170.2,3490.0,-3520.0,14.0
758,Silverheels Endurance Run,100 Mile,Fairplay,United States,165.1,5060.0,-5060.0,21.0
759,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,Arcadia,United States,160.8,6350.0,-7770.0,0.0
760,Burning River Endurance Run,100 Mile,Hudson,United States,163.0,2470.0,-2470.0,20.0
761,Chiemgauer 100,100 Mile,Bergen,Germany,160.0,7500.0,-7500.0,9.0
762,Vermont 100 Endurance Race,100M,WestWindsor,United States,162.2,4469.0,-4459.0,25.0
763,YOU YANGS,YOU YANGS 100 MI,LittleRiver,Australia,158.5,2958.0,-2958.0,2.0
764,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,162.7,6145.0,-6145.0,0.0
765,Sinister 7 Ultra,Solo,Blairmore,Canada,155.3,4300.0,-4270.0,15.0
766,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,160.7,1600.0,-1590.0,5.0
767,Western States Endurance Run,Western States Endurance Run,Auburn,United States,160.3,5950.0,-7490.0,21.0
768,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Ordino,Andorra,171.0,13000.0,-13000.0,0.0
769,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,161.0,3425.0,-3425.0,0.0
770,Bighorn Trail Run,100M,Sheridan,United States,161.3,5500.0,-5500.0,0.0
771,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,156.7,3390.0,-3440.0,14.0
772,Chicamocha Run,167 Km,CUNDINAMARCA,Colombia,169.1,7779.0,-7756.0,6.0
773,Kettle Moraine 100,100 Mile,LaGrange,United States,163.8,3720.0,-3720.0,22.0
774,SAN DIEGO 100,San Diego 100,Oceanside,United States,159.5,3617.0,-3617.0,15.0
775,Bryce Canyon,100 Mile,Hatch,United States,159.4,4800.0,-4800.0,13.0
776,Oh Meu Deus,K160+,Seia,Portugal,161.9,5030.0,-5030.0,12.0
777,Trail Karpatia,Trail Karpatia,Volovets,Ukraine,164.7,8860.0,-8860.0,5.0
778,WEST HIGHLAND WAY CHALLENGE RACE,WEST HIGHLAND WAY CHALLENGE RACE,Doune,United Kingdom,155.3,4060.0,-4110.0,7.0
779,Borås Ultra Marathon,BUM 100 Miles,Borås,Sweden,158.8,3100.0,-3180.0,10.0
780,SULPHUR SPRINGS,SULPHUR SPRINGS 100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
781,HARDCORE HUNDRED MILES,100 MILES,Kayapa,Philippines,160.0,11128.0,-11137.0,11.0
782,NUTS Karhunkierros,160k,Kuusamo,Finland,162.4,1730.0,-1720.0,7.0
783,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.0,1600.0,-1600.0,13.0
784,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.5,5840.0,-5840.0,12.0
785,INDIANA TRAIL 100,INDIANA TRAIL 100 MILE,Albion,United States,161.0,4000.0,-4000.0,0.0
786,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,171.5,10090.0,-10090.0,16.0
787,100 Miles Of Istria,100 Miles,Umag,Croatia,169.0,6270.0,-6560.0,12.0
788,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,159.5,2510.0,-2520.0,13.0
789,Zion,100 Mile,Virgin,United States,156.7,3690.0,-3690.0,0.0
790,Badger Mountain Challenge,100 Mile,Kennewick,United States,156.7,4760.0,-4790.0,15.0
791,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,161.0,3600.0,-3600.0,0.0
792,Monument Valley,100 Mile,MonumentValley,United States,161.0,2400.0,-2400.0,13.0
793,Antelope Canyon,100 Mile,Page,United States,161.0,1900.0,-1900.0,13.0
794,Le TREG® Ennedi Trail,LE TREG®,Fada,Chad,175.0,2250.0,-2200.0,8.0
795,Coldwater Rumble,100 Miles,Goodyear,United States,160.9,2918.0,-2918.0,0.0
796,Montane Spine,Challenger,Edale,United Kingdom,170.5,4748.0,-4744.0,4.0
797,Brazos Bend 100,100M,Needville,United States,156.6,1360.0,-1360.0,0.0
798,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,161.4,7302.0,-7321.0,4.0
799,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",168.0,5400.0,-5400.0,0.0
800,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,171.7,8570.0,-8560.0,15.0
801,Javelina Jundred,100 Miles,FortMcDowell,United States,162.9,1960.0,-1960.0,0.0
802,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,Shawnee,United States,161.0,4500.0,-4500.0,12.0
803,PINHOTI 100,PINHOTI 100 MILES,Sylacauga,United States,161.9,4930.0,-5060.0,0.0
804,Cactus Rose,100 Mile,Bandera,United States,161.0,4400.0,-4400.0,20.0
805,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,SaintDenis,France,172.6,9996.0,-9996.0,0.0
806,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,162.4,2130.0,-2140.0,15.0
807,The North Face Endurance Challenge Chile,160 Km,Huechuraba,Chile,160.0,8465.0,-8130.0,16.0
808,Ultima Frontera Trail,ULTIMA FRONTERA 166,Loja,Spain,168.2,4600.0,-4600.0,0.0
809,Rodopi Advendurun,100 miles,Haidou,Greece,164.1,6610.0,-6610.0,0.0
810,100 Miles Sud De France,100 Miles,bolquere,France,162.8,7500.0,-5700.0,0.0
811,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,168.0,6610.0,-6610.0,15.0
812,Cloudsplitter 100,100 Mile,Norton,United States,166.8,7710.0,-7710.0,10.0
813,Grindstone 100,Grindstone 100,Swoope,United States,160.0,6990.0,-6990.0,15.0
814,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Fontanafredda,Italy,157.8,6548.0,-6548.0,0.0
815,Cotswold Way Century,100 Miles,ChippingCampden,United Kingdom,164.6,4090.0,-4200.0,10.0
816,Mountain Lakes 100,Mountain Lakes 100,OlallieLake,United States,155.6,3625.0,-3615.0,16.0
817,BEAR 100,BEAR 100,Smithfield,United States,156.8,6550.0,-6200.0,0.0
818,Black River Run,100 Miles,Västerås,Sweden,161.0,2400.0,-2400.0,30.0
819,St Oswald's Ultra,100 Mile,Chollerford,United Kingdom,164.4,2160.0,-2200.0,13.0
820,Kodiak Ultra Marathon,KODIAK 100 MI,BigBearLake,United States,156.8,5328.0,-5328.0,0.0
821,L'Infernal Trail Des Vosges,160 Km,SaintNabord,France,171.6,6555.0,-6555.0,0.0
822,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,161.0,6095.0,-6095.0,0.0
823,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,175.0,6130.0,-6144.0,6.0
824,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Lethbridge,Canada,161.1,5535.0,-5535.0,6.0
825,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,Lutsen,United States,165.0,6100.0,-6400.0,0.0
826,THE GREAT NASEBY WATER RACE,THE GREAT NASEBY WATER RACE - 160KM,Dunedin,New Zealand,162.7,2350.0,-2350.0,31.0
827,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,167.7,9618.0,-9618.0,16.0
828,Le Grand Raid Des Pyrénées,GRP160 Ultra,vielle-Aure,France,164.0,9808.0,-9808.0,0.0
829,Ultra Tour Des 4 Massifs,Ut4M 160,Grenoble,France,165.4,10550.0,-10550.0,0.0
830,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,173.5,2460.0,-2500.0,0.0
831,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,Arcadia,United States,160.8,6350.0,-7770.0,0.0
832,Burning River Endurance Run,100 Mile,Hudson,United States,163.0,2470.0,-2470.0,20.0
833,Peak2Peak Ultra,168 Km,Singapore,Singapore,168.0,6406.0,-6420.0,1.0
834,Chiemgauer 100,100 Mile,Bergen,Germany,160.0,7500.0,-7500.0,0.0
835,YOU YANGS,YOU YANGS 100 MI,LittleRiver,Australia,158.5,2960.0,-2960.0,2.0
836,OSJ Ontake Ultra-Trail®?,100 Miles,Otaki,Japan,155.0,4200.0,-4200.0,0.0
837,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,161.0,6030.0,-6030.0,0.0
838,Vermont 100 Endurance Race,100M,WestWindsor,United States,161.0,4290.0,-4290.0,20.0
839,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,161.0,1187.0,-1188.0,0.0
840,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Ordino,Andorra,171.0,13000.0,-13000.0,0.0
841,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,171.4,10090.0,-10090.0,15.0
842,Sinister 7 Ultra,Solo,Blairmore,Canada,161.0,5687.0,-5676.0,0.0
843,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.0,5510.0,-7000.0,0.0
844,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,161.0,3425.0,-3425.0,0.0
845,Bighorn Trail Run,100M,Sheridan,United States,161.3,5500.0,-5500.0,0.0
846,Bryce Canyon,100 Mile,Hatch,United States,161.0,4200.0,-4200.0,0.0
847,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,156.7,3390.0,-3440.0,14.0
848,Kettle Moraine 100,100 Mile,LaGrange,United States,161.9,2682.0,-2682.0,0.0
849,SAN DIEGO 100,San Diego 100,Oceanside,United States,160.9,4790.0,-4790.0,0.0
850,Thy Ultra Trail,THY ULTRA-TRAIL 100 MILES,Snedsted,Denmark,163.0,600.0,-600.0,0.0
851,Trail Karpatia,Trail Karpatia,Volovets,Ukraine,170.0,8120.0,-7950.0,3.0
852,Oh Meu Deus,K160+,Seia,Portugal,166.27,7105.0,-7108.0,0.0
853,Chicamocha Run,167 Km,CUNDINAMARCA,Colombia,169.8,7940.0,-7917.0,6.0
854,Le Grand Raid 6666,Grand Raid 6666,Roquebrun,France,164.8,9849.0,-9954.0,0.0
855,SULPHUR SPRINGS,SULPHUR SPRINGS 100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
856,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.0,1600.0,-1600.0,0.0
857,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.4,4260.0,-4260.0,12.0
858,INDIANA TRAIL 100,INDIANA TRAIL 100 MILE,Albion,United States,161.0,4000.0,-4000.0,0.0
859,Ultra-Trail Mt. Fuji,UTMF,Fuji,Japan,169.0,9478.0,-9478.0,12.0
860,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,160.9,2400.0,-2400.0,0.0
861,100 Miles Of Istria,100 Miles,Umag,Croatia,166.6,6936.0,-7214.0,0.0
862,Zion,100 Mile,Virgin,United States,161.0,3200.0,-3200.0,15.0
863,Badger Mountain Challenge,100 Mile,Kennewick,United States,161.0,4300.0,-4300.0,0.0
864,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,161.0,3600.0,-3600.0,0.0
865,Northburn Ultra Mountain Events,100 Mile,Cromwell,New Zealand,161.0,8000.0,-8000.0,12.0
866,La Mision,160 Km,SanMartíndelosAndes,Argentina,160.0,8500.0,-8500.0,0.0
867,HARDCORE HUNDRED MILES,100 MILES,Kayapa,Philippines,160.0,13000.0,-13000.0,0.0
868,Rocky Raccoon,100 Mile,Huntsville,United States,161.0,1800.0,-1800.0,0.0
869,Coldwater Rumble,100 Miles,Goodyear,United States,160.9,2918.0,-2918.0,0.0
870,Montane Spine,Montane Spine Challenger,Edale,United Kingdom,169.0,5017.0,-5012.0,0.0
871,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,162.4,2130.0,-2140.0,0.0
872,HK168,Full 168,TaiMeiTuk,"Hong Kong, China",168.0,5400.0,-5400.0,0.0
873,Bromo Tengger Semeru 100 Ultra,BTS 170K,Bogor,Indonesia,165.2,7272.0,-7272.0,0.0
