id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
214,BEAR 100,Bear 100 Endurance Trail Race,Smithfield,United States,163.0,6680.0,-6350.0,13.0
215,The Georgia Jewel,100 Miler,Dalton,United States,162.8,4000.0,-4000.0,18.0
216,Black River Run,100 Miles,Västerås,Sweden,161.5,1030.0,-1030.0,9.0
217,Cotswold Way Century,102 Miles,ChippingCampden,United Kingdom,165.6,4130.0,-4240.0,10.0
218,Pirin Ultra,160km,Bansko,Bulgaria,161.2,10980.0,-10980.0,9.0
219,Sangre de Cristo Ultras,100-Mile,Westcliffe,United States,168.2,5910.0,-5910.0,13.0
220,Whistler Alpine Meadows,100M,Whistler,Canada,174.8,10310.0,-10300.0,10.0
221,Adamello Ultra-Trail®,Ultra-Trail®,Vezzad'Oglio,Italy,165.0,11380.0,-11380.0,19.0
222,Karkloof100,Karkloof100,Howick,South Africa,157.0,3330.0,-3410.0,18.0
223,Midnight Moose Ultra,160K,Chelsea,Canada,160.8,4870.0,-4870.0,11.0
224,Mogollon Monster 100,100 Mi,Pine,United States,164.7,5540.0,-5530.0,12.0
225,Shinetsu Five Mountains Trail,100 miles,Ohzatagiri,"Myoko, Japan",160.3,6570.0,-6390.0,9.0
226,THE GREAT NORTH WALK ULTRAs,100 MILES,Patonga,Australia,162.5,5100.0,-5110.0,5.0
227,GARMIN ULTRA RACE STOLOWE MOUNTAINS,Challange 158,RADKÓW,Poland,158.9,5350.0,-5340.0,11.0
228,Uttarkashi 135,Uttarkashi 160,Uttarkashi,India,157.4,8270.0,-7820.0,0.0
229,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,155.3,5780.0,-6000.0,0.0
230,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,159.5,6820.0,-6820.0,17.0
231,Pembrokeshire Ultramarathons,100.0,StDogmaels,United Kingdom,163.7,4070.0,-4070.0,7.0
232,Superior Fall Trail Race,100m,Lutsen,United States,168.0,5200.0,-5060.0,13.0
233,SwissPeaks Trail,170.0,LeBouveret,Switzerland,168.7,11780.0,-13010.0,13.0
234,Garmin Runfire Salt Lake Ultra Trail,100 Mile,ulukisla,Turkey,160.1,2830.0,-2830.0,15.0
235,UTMB®,UTMB®,Chamonix,France,170.7,9930.0,-9930.0,16.0
236,DREAM TRAIL Lyskovo,160 ??,Lyskovo,Russia,159.4,1790.0,-1700.0,3.0
237,Habanero Hundred,100M,CatSprings,United States,161.7,2290.0,-2290.0,3.0
238,Leadville Trail 100 Run,Leadville Trial 100 Run,Leadville,United States,162.1,4230.0,-4230.0,13.0
239,Kodiak Ultra Marathons,Kodiak 100 Mile,BigBearLake,United States,164.7,5320.0,-5320.0,14.0
240,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,164.6,7090.0,-7100.0,13.0
241,Swiss Alps 100,160KM,Münster,Switzerland,157.6,9650.0,-9650.0,15.0
242,Ute 100 Mile Trail Race,Ute 100 Mile Trail Race,OldLaSal,United States,159.5,6180.0,-6180.0,9.0
243,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,168.0,3420.0,-3460.0,14.0
244,Ouray 100 Mile Endurance Run,100 Mile,Ouray,United States,171.9,11310.0,-11420.0,15.0
245,Burning River Endurance Run,100 Mile,Hudson,United States,163.6,2700.0,-2700.0,14.0
246,High Lonesome 100,100M,Nathrop,United States,160.0,6480.0,-6480.0,12.0
247,Tahoe Rim Trail Endurance Runs 100M/50M/55K,100 Mile,Carsoncity,United States,161.1,6170.0,-6160.0,0.0
248,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,161.3,2330.0,-2320.0,3.0
249,Vermont 100 Endurance Race,100M,WestWindsor,United States,157.5,4830.0,-4840.0,19.0
250,YOU YANGS Hardcore 100Miler,100 MI,LittleRiver,Australia,169.3,4820.0,-4830.0,2.0
251,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,163.3,8730.0,-8730.0,13.0
252,Beacons Way Ultra,Beacons Way Ultra,abergavenny,United Kingdom,166.5,6310.0,-6320.0,10.0
253,OSJ Ontake 100,100 Miles,Otaki,Japan,164.6,6200.0,-6200.0,6.0
254,Columbia Sanfo Ultra 168-Chongli,168km,Chongli,China,166.2,8250.0,-8250.0,14.0
255,Columbia Sanfo Ultra 168-Chongli,UTC-emergency,Chongli,China,157.7,7800.0,-7800.0,14.0
256,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,172.0,10210.0,-10210.0,15.0
257,Grand Trail Stevenson,GTS 162 km,Saint-Etienne-Vallée-Française,France,161.2,5210.0,-5380.0,5.0
258,Nuts Ylläs Pallas,160K,Äkäslompolo,Finland,163.9,4430.0,-4510.0,10.0
259,Wendover Woods 100,Wendover Woods 100,Wendover,United Kingdom,168.1,6180.0,-6180.0,19.0
260,100 MILLAS UTACCH AMANECER COMECHINGON,100 MILLAS UTACCH,VillaYacantodeCalamuchita,Argentina,158.8,5449.0,-5450.0,15.0
261,Brisbane Trail Ultra Festival,Brisbane Trail Ultra 100 mile,Brisbane,Australia,159.5,7550.0,-7580.0,7.0
262,Silverheels 100-Mile Endurance Run,100 Mile,Fairplay,United States,166.7,4650.0,-4650.0,24.0
263,Sinister 7 Ultra,Solo,Blairmore,Canada,160.7,5730.0,-5740.0,15.0
264,Bojko Trail,Bojko Trail 150+,CzarnaGórna,Poland,155.1,7980.0,-8040.0,8.0
